text,joy,sadness,anger,love,thankfulness,fear
Shut up!.,0.678,0.233,0.101,0.373,0.072,0.383
Then at last he understood and clutched the nest and waved his thanks to the bird as she fluttered overhead.,0.330,0.798,0.904,0.364,0.983,0.033
Well it very soon discovered that she had come to the island and it found her out and they just ran into each other’s arms.,0.085,0.577,0.255,0.345,0.060,0.242
What did disturb her at times was that John remembered his parents vaguely only as people he had once known while Michael was quite willing to believe that she was really his mother.,0.467,0.374,0.940,0.875,0.995,0.033
These things scared her a little.,0.652,0.426,0.223,0.720,0.049,0.501
It was a sanguinary affair and especially interesting as showing one of Peter’s peculiarities which was that in the middle of a fight he would suddenly change sides.,0.137,0.118,0.990,0.852,0.900,0.299
he called out I’m redskin to-day; what are you Tootles? And Tootles answered Redskin; what are you Nibs? and Nibs said Redskin; what are you Twin? and so on.,0.710,0.959,0.922,0.947,0.972,0.091
That is a pretty story and the end shows how grateful a bird can be.,0.552,0.395,0.677,0.688,0.896,0.359
A shorter adventure and quite as exciting was Tinker Bell’s attempt with the help of some street fairies to have the sleeping Wendy conveyed on a great floating leaf to the mainland.,0.447,0.875,0.842,0.959,0.438,0.488
Wendy looking on breathlessly from trees not one of them dared to accept his challenge.,0.941,0.757,0.356,0.152,0.026,0.392
The most haunting time at which to see them is at the turn of the moon when they utter strange wailing cries.,0.512,0.176,0.463,0.955,0.997,0.009
The bubbles of many colours made in rainbow water they treat as balls hitting them gaily from one to another with their tails.,0.526,0.582,0.435,0.151,0.723,0.354
Sometimes a dozen of these games will be going on in the lagoon at a time and it is quite a pretty sight.,0.061,0.263,0.988,0.781,0.982,0.050
Peter sprang erect as wide awake at once as a dog and with one warning cry he roused the others.,0.081,0.300,0.812,0.825,0.968,0.015
He stood motionless one hand to his ear.,0.511,0.742,0.310,0.688,0.052,0.390
Luff you lubber cried an Irish voice that was Smee’s.,0.386,0.410,0.486,0.649,0.929,0.325
Wendy was crying for it was the first tragedy she had seen.,0.200,0.257,0.841,0.658,0.912,0.089
The captain! said the pirates staring at each other in surprise.,0.896,0.752,0.065,0.608,0.989,0.022
Set her free came the astonishing answer.,0.781,0.352,0.649,0.277,0.512,0.134
Better do what the captain orders said Starkey nervously.,0.866,0.082,0.499,0.297,0.752,0.084
Of course Wendy was very elated over Peter’s cleverness,0.218,0.459,0.349,0.266,0.821,0.296
"Peter may have been about to crow but his face puckered in a whistle of surprise instead.,surprise
There was a break in his voice as if for a moment he recalled innocent days when—but he brushed away this weakness with his hook.""",0.742,0.346,0.495,0.893,0.734,0.196
Hook winced. Ay he said that is the fear that haunts me.,0.903,0.769,0.435,0.414,0.052,0.452
Hook raised his voice but there was a quiver in it.,0.278,0.161,0.603,0.465,0.969,0.323
His face had gone black with rage but he saw that they believed their words and he was startled.,0.721,0.324,0.722,0.621,0.957,0.082
Spirit that haunts this dark lagoon to-night he cried dost hear me?,0.101,0.498,0.404,0.525,0.189,0.218
Not the pain of this but its unfairness was what dazed Peter.,0.571,0.296,0.848,0.044,0.886,0.352
He could only stare horrified.,0.197,0.067,0.904,0.310,0.056,0.170
no elation on the pestilent face now only white fear for the crocodile was in dogged pursuit of him.,0.045,0.520,0.986,0.057,0.963,0.163
On ordinary occasions the boys would have swum alongside cheering.,0.740,0.924,0.091,0.353,0.374,0.228
Peter was not quite like other boys; but he was afraid at last.,0.471,0.036,0.791,0.232,0.997,0.011
Next moment he was standing erect on the rock again with that smile on his face and a drum beating within him.,0.157,0.703,0.595,0.097,0.433,0.266
It was saying To die will be an awfully big adventure.,0.463,0.286,0.907,0.149,0.972,0.489
I can suppose only that like Mrs. Darling and the rest of them she was melted because he had all his first teeth.,0.772,0.436,0.534,0.775,0.928,0.804
The Never bird became irritated; they have very short tempers.,0.553,0.119,0.778,0.070,0.580,0.227
You dunderheaded little jay! she screamed Why don’t you do as I tell you?.,0.319,0.730,0.045,0.388,0.068,0.020
it was not even to watch him get into the nest; it was to see what he did with her eggs.,0.616,0.360,0.993,0.084,0.975,0.064
The Never bird saw at once what he was up to and screamed her admiration of him; and alas Peter crowed his agreement with her.,0.630,0.092,0.553,0.121,0.994,0.018
She drifted in one direction and he was borne off in another both cheering.,0.362,0.503,0.267,0.568,0.953,0.133
Great were the rejoicings when Peter reached the home under the ground almost as soon as Wendy who had been carried hither and thither by the kite.,0.733,0.358,0.671,0.866,0.852,0.306
Smee reflected. I can’t think of a thing he said regretfully.,0.543,0.854,0.405,0.715,0.660,0.020
Shut up!.,0.678,0.233,0.101,0.373,0.072,0.383
Then at last he understood and clutched the nest and waved his thanks to the bird as she fluttered overhead.,0.330,0.798,0.904,0.364,0.983,0.033
Well it very soon discovered that she had come to the island and it found her out and they just ran into each other’s arms.,0.085,0.577,0.255,0.345,0.060,0.242
What did disturb her at times was that John remembered his parents vaguely only as people he had once known while Michael was quite willing to believe that she was really his mother.,0.467,0.374,0.940,0.875,0.995,0.033
These things scared her a little.,0.652,0.426,0.223,0.720,0.049,0.501
It was a sanguinary affair and especially interesting as showing one of Peter’s peculiarities which was that in the middle of a fight he would suddenly change sides.,0.137,0.118,0.990,0.852,0.900,0.299
he called out I’m redskin to-day; what are you Tootles? And Tootles answered Redskin; what are you Nibs? and Nibs said Redskin; what are you Twin? and so on.,0.710,0.959,0.922,0.947,0.972,0.091
That is a pretty story and the end shows how grateful a bird can be.,0.552,0.395,0.677,0.688,0.896,0.359
A shorter adventure and quite as exciting was Tinker Bell’s attempt with the help of some street fairies to have the sleeping Wendy conveyed on a great floating leaf to the mainland.,0.447,0.875,0.842,0.959,0.438,0.488
Wendy looking on breathlessly from trees not one of them dared to accept his challenge.,0.941,0.757,0.356,0.152,0.026,0.392
The most haunting time at which to see them is at the turn of the moon when they utter strange wailing cries.,0.512,0.176,0.463,0.955,0.997,0.009
The bubbles of many colours made in rainbow water they treat as balls hitting them gaily from one to another with their tails.,0.526,0.582,0.435,0.151,0.723,0.354
Sometimes a dozen of these games will be going on in the lagoon at a time and it is quite a pretty sight.,0.061,0.263,0.988,0.781,0.982,0.050
Peter sprang erect as wide awake at once as a dog and with one warning cry he roused the others.,0.081,0.300,0.812,0.825,0.968,0.015
He stood motionless one hand to his ear.,0.511,0.742,0.310,0.688,0.052,0.390
Luff you lubber cried an Irish voice that was Smee’s.,0.386,0.410,0.486,0.649,0.929,0.325
Wendy was crying for it was the first tragedy she had seen.,0.200,0.257,0.841,0.658,0.912,0.089
The captain! said the pirates staring at each other in surprise.,0.896,0.752,0.065,0.608,0.989,0.022
Set her free came the astonishing answer.,0.781,0.352,0.649,0.277,0.512,0.134
Better do what the captain orders said Starkey nervously.,0.866,0.082,0.499,0.297,0.752,0.084
Of course Wendy was very elated over Peter’s cleverness,0.218,0.459,0.349,0.266,0.821,0.296
Peter may have been about to crow but his face puckered in a whistle of surprise instead.,0.599,0.335,0.840,0.217,0.335,0.523
There was a break in his voice as if for a moment he recalled innocent days when—but he brushed away this weakness with his hook.,0.744,0.469,0.422,0.711,0.803,0.116
Hook winced. Ay he said that is the fear that haunts me.,0.903,0.769,0.435,0.414,0.052,0.452
"Hook raised his voice but there was a quiver in it.""",0.278,0.161,0.603,0.465,0.969,0.323
"His face had gone black with rage but he saw that they believed their words and he was startled.""",0.721,0.324,0.722,0.621,0.957,0.082
"Spirit that haunts this dark lagoon to-night he cried dost hear me?""",0.101,0.498,0.404,0.525,0.189,0.218
"Not the pain of this but its unfairness was what dazed Peter.""",0.571,0.296,0.848,0.044,0.886,0.352
"He could only stare horrified.""",0.197,0.067,0.904,0.310,0.056,0.170
no elation on the pestilent face now only white fear for the crocodile was in dogged pursuit of him.,0.045,0.520,0.986,0.057,0.963,0.163
On ordinary occasions the boys would have swum alongside cheering.,0.740,0.924,0.091,0.353,0.374,0.228
Peter was not quite like other boys; but he was afraid at last.,0.471,0.036,0.791,0.232,0.997,0.011
Next moment he was standing erect on the rock again with that smile on his face and a drum beating within him.,0.157,0.703,0.595,0.097,0.433,0.266
It was saying To die will be an awfully big adventure.,0.463,0.286,0.907,0.149,0.972,0.489
I can suppose only that like Mrs. Darling and the rest of them she was melted because he had all his first teeth.,0.772,0.436,0.534,0.775,0.928,0.804
The Never bird became irritated; they have very short tempers.,0.553,0.119,0.778,0.070,0.580,0.227
You dunderheaded little jay! she screamed Why don’t you do as I tell you?.,0.319,0.730,0.045,0.388,0.068,0.020
it was not even to watch him get into the nest; it was to see what he did with her eggs.,0.616,0.360,0.993,0.084,0.975,0.064
The Never bird saw at once what he was up to and screamed her admiration of him; and alas Peter crowed his agreement with her.,0.630,0.092,0.553,0.121,0.994,0.018
"She drifted in one direction and he was borne off in another both cheering.,joy
Great were the rejoicings when Peter reached the home under the ground almost as soon as Wendy who had been carried hither and thither by the kite.""",0.726,0.258,0.577,0.947,0.970,0.243
Smee reflected. I can’t think of a thing he said regretfully.,0.543,0.854,0.405,0.715,0.660,0.020
"'Me Tiger Lily,' that lovely creature would reply.",0.084,0.063,0.193,0.241,0.069,0.909
Me no let pirates hurt him.,0.548,0.943,0.073,0.638,0.080,0.322
It is good. Peter Pan has spoken.,0.430,0.035,0.313,0.278,0.611,0.334
"They said 'How-do?' to them, and things like that; and what annoyed the boys was that Peter seemed to think this all right.",0.271,0.081,0.965,0.068,0.981,0.056
"Secretly Wendy sympathised with them a little, but she was far too loyal a housewife to listen to any complaints against father.",0.878,0.701,0.990,0.262,0.813,0.179
I complain of so-and-so,0.473,0.290,0.179,0.764,0.214,0.299
"'Silence,' cried Wendy when for the twentieth time she had told them that they were not all to speak at once.",0.402,0.617,0.518,0.087,0.995,0.013
"He was so much the humblest of them, indeed he was the only humble one, that Wendy was specially gentle with him.",0.038,0.169,0.939,0.128,0.920,0.034
"'No, I won’t,' Michael rapped out. He was already in his basket.",0.193,0.477,0.241,0.701,0.317,0.246
While she sewed they played around her; such a group of happy faces and dancing limbs lit up by that romantic fire.,0.395,0.402,0.306,0.045,0.494,0.131
"Peter was really the best dancer among them, but he pretended to be scandalised.",0.219,0.106,0.656,0.445,0.820,0.399
"'It is sweet, Peter, isn’t it?' Wendy said, frightfully gratified.",0.062,0.584,0.107,0.788,0.283,0.139
"Ah, now we are rewarded for our sublime faith in a mother’s love.",0.188,0.537,0.141,0.629,0.910,0.346
"Such a deliciously creepy song it was, in which they pretended to be frightened at their own shadows, little witting that so soon shadows would close in upon them, from whom they would shrink in real fear.",0.144,0.048,0.761,0.007,0.993,0.069
"Now these three children had a faithful nurse called Nana; but Mr. Darling was angry with her and chained her up in the yard, and so all the children flew away.",0.452,0.510,0.462,0.846,0.928,0.080
'Hush. Now I want you to consider the feelings of the unhappy parents with all their children flown away.',0.472,0.850,0.652,0.654,0.634,0.289
"They all gathered round him in affright, so alarming was his agitation; and with a fine candour he told them what he had hitherto concealed.",0.504,0.322,0.527,0.899,0.900,0.143
"This dread made her forgetful of what must be Peter’s feelings, and she said to him rather sharply, 'Peter, will you make the necessary arrangements?'",0.180,0.369,0.481,0.709,0.650,0.411
"'It will be worse than before she came,' they cried.",0.039,0.389,0.073,0.551,0.651,0.332
"'Who are you? How dare you? Go away,' she cried.",0.560,0.647,0.034,0.040,0.453,0.182
"'She says she won’t!' Nibs exclaimed, aghast at such insubordination, whereupon Peter went sternly toward the young lady’s chamber.",0.841,0.711,0.446,0.873,0.983,0.022
I am going to give you your medicine before you go,0.657,0.557,0.521,0.185,0.493,0.353
"No, no,' he told Wendy decisively",0.446,0.727,0.016,0.375,0.019,0.123
"'If the redskins have won,' he said, 'they will beat the tom-tom; it is always their sign of victory.'",0.814,0.193,0.144,0.731,0.104,0.557
"'It’s awfully sad,' the first twin said cheerfully.",0.871,0.438,0.966,0.729,0.942,0.345
"'O Wendy, who is she?' cried Nibs, every bit as excited as if he didn’t know.",0.043,0.883,0.354,0.843,0.080,0.136
"They all gathered round him in affright, so alarming was his agitation; and with a fine candour he told them what he had hitherto concealed.",0.504,0.322,0.527,0.899,0.900,0.143
Still it is best to be careful; and no one knows so quickly as a child when he should give in.,0.273,0.260,0.258,0.909,0.151,0.139
"'At once,' Wendy replied resolutely, for the horrible thought had come to her: 'Perhaps mother is in half mourning by this time.'",0.448,0.686,0.034,0.506,0.218,0.471
"'Tootles,' she cried, 'I appeal to you.'",0.134,0.465,0.053,0.054,0.077,0.692
"'Thank you, Peter.'",0.472,0.072,0.136,0.025,0.043,0.738
"'Tink,' he rapped out, 'if you don’t get up and dress at once I will open the curtains, and then we shall all see you in your negligée.'",0.494,0.857,0.034,0.782,0.972,0.060
"'All right,' Peter replied with a bitter smile, and immediately they rushed to get their things.",0.274,0.068,0.451,0.374,0.885,0.196
"'No,' he answered, pretending indifference, 'I am not going with you, Wendy.'",0.118,0.701,0.122,0.548,0.043,0.193
Peter not coming! They gazed blankly at him,0.096,0.267,0.862,0.076,0.997,0.005
"'What is it?' she asked, anxious about him at once.",0.031,0.669,0.046,0.705,0.980,0.008
'Do you mean we shall both be drowned?',0.166,0.969,0.025,0.619,0.267,0.605
"'It lifted Michael off the ground,' he cried; 'why should it not carry you?'",0.155,0.387,0.033,0.326,0.069,0.344
Then rather curiously they both snapped out the same remark: 'Shut up!',0.818,0.908,0.190,0.130,0.828,0.366
"Great were the rejoicings when Peter reached the home under the ground almost as soon as Wendy, who had been carried hither and thither by the kite.",0.733,0.358,0.671,0.866,0.852,0.306
"She drifted in one direction, and he was borne off in another, both cheering.",0.362,0.503,0.267,0.568,0.953,0.133
"'You dunderheaded little jay!' she screamed, 'Why don’t you do as I tell you?'",0.790,0.590,0.004,0.248,0.034,0.101
The Never bird became irritated; they have very short tempers.,0.553,0.119,0.778,0.070,0.580,0.227
"Peter, always sympathetic to the weaker side, could not help clapping; it was such a gallant piece of paper.",0.337,0.387,0.831,0.246,0.849,0.457
'I complain of so-and-so;' but what usually happened was that they forgot to do this or did it too much.,0.054,0.443,0.780,0.849,0.963,0.025
"This was grumbling. 'We complain of John,' cried the twins.",0.144,0.135,0.393,0.637,0.877,0.417
"'Dance away, my little man,' said Peter, who was in high good humour.",0.807,0.055,0.320,0.605,0.636,0.821
"'I am awfully glad she isn’t dead,' said Tootles.",0.004,0.747,0.108,0.798,0.039,0.153
"'It’s an awfully good story,' said Nibs.",0.089,0.384,0.349,0.532,0.324,0.512
"There was not a sound, and he drew himself up firmly to his full height.",0.028,0.354,0.947,0.776,0.869,0.109
Bill Jukes dead,0.003,0.100,0.641,0.188,0.004,0.521
Go back and fetch me out that doodle-doo,0.558,0.114,0.465,0.116,0.049,0.483
"Starkey looked round for help, but all deserted him",0.065,0.651,0.712,0.671,0.245,0.141
"If they kill him, we’re so much the better; if he kills them, we’re none the worse",0.128,0.969,0.073,0.070,0.727,0.208
To the pirates it was a voice crying that all the boys lay slain in the cabin; and they were panic-stricken,0.171,0.276,0.569,0.202,0.979,0.134
"O Nana, I dreamt my dear ones had come back",0.413,0.167,0.722,0.476,0.004,0.210
"The children waited for her cry of joy, but it did not come",0.125,0.418,0.900,0.913,0.532,0.125
"George, George! she cried when she could speak; and Mr. Darling woke to share her bliss, and Nana came rushing in.",0.239,0.788,0.094,0.522,0.497,0.317
"He went off dancing through the house, and they all cried Hoop la! and danced after him",0.096,0.398,0.074,0.065,0.623,0.131
that you would like to say anything to my parents about a very sweet subject,0.351,0.512,0.682,0.556,0.848,0.268
I should love you in a beard,0.389,0.311,0.541,0.963,0.186,0.566
"It will be rather lonely in the evening, she said, sitting by the fire.",0.072,0.359,0.297,0.018,0.628,0.256
He took Mrs. Darling’s kiss with him,0.153,0.362,0.849,0.251,0.760,0.349
Wendy would have cried if Michael had not been crying.,0.341,0.732,0.044,0.270,0.035,0.220
Wendy would have cried if Michael had not been crying.,0.341,0.732,0.044,0.270,0.035,0.220
he wants me always to do his spring cleaning.,0.505,0.351,0.757,0.509,0.044,0.116
