text,joy,sadness,anger,love,thankfulness,fear
"if they kill him, we're so much the better; if he kills them, we're none the worse",0.127,0.902,0.128,0.142,0.836,0.214
his face had gone black with rage but he saw that they believed their words and he was startled.,0.721,0.324,0.722,0.621,0.957,0.082
he took mrs. darling's kiss with him,0.140,0.436,0.661,0.148,0.617,0.420
i suppose she must have looked rather delightful,0.049,0.891,0.514,0.563,0.823,0.022
there was the same excitement over john,0.146,0.357,0.836,0.305,0.938,0.259
"she was a lovely lady, with a romantic mind and such a sweet mocking mouth.",0.888,0.169,0.770,0.536,0.866,0.209
there was a break in his voice as if for a moment he recalled innocent days when—but he brushed away this weakness with his hook.,0.744,0.469,0.422,0.711,0.803,0.116
great were the rejoicings when peter reached the home under the ground almost as soon as wendy who had been carried hither and thither by the kite.,0.733,0.358,0.671,0.866,0.852,0.306
"great were the rejoicings when peter reached the home under the ground almost as soon as wendy, who had been carried hither and thither by the kite.",0.733,0.358,0.671,0.866,0.852,0.306
"'dance away, my little man,' said peter, who was in high good humour.",0.807,0.055,0.320,0.605,0.636,0.821
bill jukes dead,0.003,0.100,0.641,0.188,0.004,0.521
of course wendy was very elated over peter's cleverness,0.432,0.743,0.191,0.071,0.813,0.330
then rather curiously they both snapped out the same remark: 'shut up!',0.818,0.908,0.190,0.130,0.828,0.366
"peter was really the best dancer among them, but he pretended to be scandalised.",0.219,0.106,0.656,0.445,0.820,0.399
no elation on the pestilent face now only white fear for the crocodile was in dogged pursuit of him.,0.045,0.520,0.986,0.057,0.963,0.163
'do you mean we shall both be drowned?',0.166,0.969,0.025,0.619,0.267,0.605
smee reflected. i can't think of a thing he said regretfully.,0.458,0.648,0.776,0.381,0.421,0.208
"hook raised his voice but there was a quiver in it.""",0.278,0.161,0.603,0.465,0.969,0.323
"but he was very honourable, and he sat on the edge of mrs. darlings bed, holding her hand and calculating expenses, while she looked at him imploringly.",0.341,0.814,0.688,0.905,0.995,0.013
"such a deliciously creepy song it was, in which they pretended to be frightened at their own shadows, little witting that so soon shadows would close in upon them, from whom they would shrink in real fear.",0.144,0.048,0.761,0.007,0.993,0.069
to the pirates it was a voice crying that all the boys lay slain in the cabin; and they were panic-stricken,0.171,0.276,0.569,0.202,0.979,0.134
"my child, the mother cried, why did you not tell me of this before?",0.462,0.361,0.752,0.478,0.585,0.283
there never was a simpler happier family until the coming of peter pan.,0.447,0.191,0.630,0.012,0.982,0.142
"now these three children had a faithful nurse called nana; but mr. darling was angry with her and chained her up in the yard, and so all the children flew away.",0.452,0.510,0.462,0.846,0.928,0.080
"'you dunderheaded little jay!' she screamed, 'why don't you do as i tell you?'",0.816,0.486,0.008,0.054,0.026,0.253
'i complain of so-and-so;' but what usually happened was that they forgot to do this or did it too much.,0.054,0.443,0.780,0.849,0.963,0.025
he wants me always to do his spring cleaning.,0.505,0.351,0.757,0.509,0.044,0.116
"lovely dances followed, in which the only other servant",0.557,0.843,0.495,0.082,0.485,0.575
"what nonsense you talk, precious. no one can get into the house without knocking",0.309,0.531,0.896,0.289,0.761,0.021
he could only stare horrified.,0.197,0.067,0.904,0.310,0.056,0.170
"'it is sweet, peter, isn't it?' wendy said, frightfully gratified.",0.082,0.335,0.278,0.421,0.243,0.392
it is good. peter pan has spoken.,0.430,0.035,0.313,0.278,0.611,0.334
wendy looking on breathlessly from trees not one of them dared to accept his challenge.,0.941,0.757,0.356,0.152,0.026,0.392
"'all right,' peter replied with a bitter smile, and immediately they rushed to get their things.",0.274,0.068,0.451,0.374,0.885,0.196
hook raised his voice but there was a quiver in it.,0.278,0.161,0.603,0.465,0.969,0.323
"john had no friends, michael had friends at night",0.399,0.514,0.053,0.348,0.990,0.011
"'at once,' wendy replied resolutely, for the horrible thought had come to her: 'perhaps mother is in half mourning by this time.'",0.448,0.686,0.034,0.506,0.218,0.471
"it will be rather lonely in the evening, she said",0.131,0.229,0.396,0.515,0.644,0.181
that is a pretty story and the end shows how grateful a bird can be.,0.552,0.395,0.677,0.688,0.896,0.359
"not the pain of this but its unfairness was what dazed peter.""",0.571,0.296,0.848,0.044,0.886,0.352
the never bird saw at once what he was up to and screamed her admiration of him; and alas peter crowed his agreement with her.,0.630,0.092,0.553,0.121,0.994,0.018
while she sewed they played around her; such a group of happy faces and dancing limbs lit up by that romantic fire.,0.395,0.402,0.306,0.045,0.494,0.131
i complain of so-and-so,0.473,0.290,0.179,0.764,0.214,0.299
what did disturb her at times was that john remembered his parents vaguely only as people he had once known while michael was quite willing to believe that she was really his mother.,0.467,0.374,0.940,0.875,0.995,0.033
"remember mumps, he warned her almost threateningly",0.928,0.956,0.363,0.697,0.157,0.292
"they all gathered round him in affright, so alarming was his agitation; and with a fine candour he told them what he had hitherto concealed.",0.504,0.322,0.527,0.899,0.900,0.143
"i shall be sick, you know, mr. darling said threateningly.",0.723,0.734,0.357,0.254,0.664,0.127
"she growled and sprang at the boy, who leapt lightly through the window.",0.346,0.714,0.378,0.412,0.991,0.077
"his face had gone black with rage but he saw that they believed their words and he was startled.""",0.721,0.324,0.722,0.621,0.957,0.082
it is so naughty of him not to wipe his feet,0.597,0.777,0.943,0.610,0.046,0.404
"michael had nearly cried. nobody wants me, he said, and of course the lady in the evening-dress could not stand that.",0.690,0.129,0.675,0.455,0.394,0.236
i am going to give you your medicine before you go,0.657,0.557,0.521,0.185,0.493,0.353
that you would like to say anything to my parents about a very sweet subject,0.351,0.512,0.682,0.556,0.848,0.268
still it is best to be careful; and no one knows so quickly as a child when he should give in.,0.273,0.260,0.258,0.909,0.151,0.139
the many gentlemen who had been boys when she was a girl discovered simultaneously that they loved her,0.444,0.462,0.849,0.563,0.900,0.139
"her romantic mind was like the tiny boxes, one within the other, that come from the puzzling east",0.410,0.341,0.418,0.646,0.737,0.114
i should love you in a beard,0.389,0.311,0.541,0.963,0.186,0.566
"wendy thought napoleon could have got it, but i can picture him trying, and then going off in a passion, slamming the door",0.405,0.956,0.337,0.687,0.870,0.117
all were looking so safe and cosy that she smiled at her fears now and sat down tranquilly by the fire to sew,0.579,0.826,0.580,0.152,0.991,0.020
peter sprang erect as wide awake at once as a dog and with one warning cry he roused the others.,0.081,0.300,0.812,0.825,0.968,0.015
"'what is it?' she asked, anxious about him at once.",0.031,0.669,0.046,0.705,0.980,0.008
"and gayest of all was mrs. darling, who would pirouette so wildly that all you could see of her was the kiss",0.074,0.199,0.886,0.367,0.922,0.467
"'it lifted michael off the ground,' he cried; 'why should it not carry you?'",0.155,0.387,0.033,0.326,0.069,0.344
well it very soon discovered that she had come to the island and it found her out and they just ran into each other's arms.,0.080,0.272,0.267,0.116,0.068,0.219
then he had leapt into her arms.,0.779,0.531,0.371,0.239,0.041,0.308
to all mrs. darling's dear invitations to him to come out he replied sadly but firmly,0.848,0.785,0.970,0.614,0.125,0.373
sometimes a dozen of these games will be going on in the lagoon at a time and it is quite a pretty sight.,0.061,0.263,0.988,0.781,0.982,0.050
a shorter adventure and quite as exciting was tinker bell's attempt with the help of some street fairies to have the sleeping wendy conveyed on a great floating leaf to the mainland.,0.350,0.809,0.825,0.931,0.430,0.428
"when you wake in the morning, the naughtiness and evil passions with which you went to bed have been folded up small and placed at the bottom of your mind and on the top, beautifully aired",0.649,0.890,0.982,0.666,0.983,0.029
"no, no,' he told wendy decisively",0.446,0.727,0.016,0.375,0.019,0.123
"i know where it is, father, wendy cried, always glad to be of service.",0.173,0.016,0.459,0.723,0.133,0.495
"he could only stare horrified.""",0.197,0.067,0.904,0.310,0.056,0.170
"ah, now we are rewarded for our sublime faith in a mother's love.",0.189,0.403,0.169,0.308,0.938,0.467
"her sweet mocking mouth had one kiss on it that wendy could never get, though there it was, perfectly conspicuous in the right-hand corner.",0.309,0.797,0.939,0.860,0.712,0.250
peter not coming! they gazed blankly at him,0.096,0.267,0.862,0.076,0.997,0.005
"'o wendy, who is she?' cried nibs, every bit as excited as if he didn't know.",0.053,0.853,0.875,0.816,0.073,0.720
"he was so much the humblest of them, indeed he was the only humble one, that wendy was specially gentle with him.",0.038,0.169,0.939,0.128,0.920,0.034
"peter, always sympathetic to the weaker side, could not help clapping; it was such a gallant piece of paper.",0.337,0.387,0.831,0.246,0.849,0.457
"'it's an awfully good story,' said nibs.",0.139,0.308,0.350,0.147,0.113,0.589
"starkey looked round for help, but all deserted him",0.065,0.651,0.712,0.671,0.245,0.141
the bubbles of many colours made in rainbow water they treat as balls hitting them gaily from one to another with their tails.,0.526,0.582,0.435,0.151,0.723,0.354
"mrs. darling would assure him, and then she would sign to the children to be specially nice to father",0.518,0.354,0.963,0.101,0.758,0.245
spirit that haunts this dark lagoon to-night he cried dost hear me?,0.101,0.498,0.404,0.525,0.189,0.218
me no let pirates hurt him.,0.548,0.943,0.073,0.638,0.080,0.322
he called out i'm redskin to-day; what are you tootles? and tootles answered redskin; what are you nibs? and nibs said redskin; what are you twin? and so on.,0.776,0.950,0.942,0.958,0.972,0.078
mrs. darling loved to have everything just so,0.572,0.523,0.348,0.441,0.521,0.262
that is her bark when she smells danger.,0.126,0.829,0.919,0.834,0.411,0.302
i don't want to go to school and learn solemn things,0.657,0.728,0.595,0.577,0.115,0.616
peter was not quite like other boys; but he was afraid at last.,0.471,0.036,0.791,0.232,0.997,0.011
better do what the captain orders said starkey nervously.,0.866,0.082,0.499,0.297,0.752,0.084
"'it's awfully sad,' the first twin said cheerfully.",0.946,0.269,0.971,0.348,0.931,0.416
"they said 'how-do?' to them, and things like that; and what annoyed the boys was that peter seemed to think this all right.",0.271,0.081,0.965,0.068,0.981,0.056
"'she says she won't!' nibs exclaimed, aghast at such insubordination, whereupon peter went sternly toward the young lady's chamber.",0.945,0.712,0.665,0.968,0.989,0.043
i can suppose only that like mrs. darling and the rest of them she was melted because he had all his first teeth.,0.772,0.436,0.534,0.775,0.928,0.804
for a week or two after wendy came it was doubtful whether they would be able to keep her,0.929,0.343,0.610,0.436,0.961,0.083
wendy loved to lend her bracelet to her mother.,0.032,0.788,0.065,0.763,0.096,0.053
"well, then, come with me to the little house",0.508,0.873,0.542,0.066,0.007,0.224
wendy was crying for it was the first tragedy she had seen.,0.200,0.257,0.841,0.658,0.912,0.089
"he peeped again, and the tears were still there, or another two had taken their place.",0.123,0.645,0.709,0.979,0.938,0.223
"the children waited for her cry of joy, but it did not come",0.125,0.418,0.900,0.913,0.532,0.125
"there were odd stories about him, as that when children died he went part of the way with them",0.518,0.731,0.510,0.159,0.822,0.113
when wendy comes she will think her mother has barred her out; and she will have to go back with me,0.312,0.767,0.411,0.635,0.324,0.159
"i know she admires you tremendously, george",0.162,0.440,0.329,0.441,0.247,0.300
"this dread made her forgetful of what must be peter's feelings, and she said to him rather sharply, 'peter, will you make the necessary arrangements?'",0.206,0.555,0.426,0.727,0.596,0.437
"again mrs. darling screamed, this time in distress for him, for she thought he was killed",0.858,0.578,0.352,0.123,0.917,0.068
as she was another mouth to feed. mr. darling was frightfully proud of her,0.446,0.061,0.785,0.216,0.668,0.032
wont; wont! michael cried naughtily,0.626,0.323,0.015,0.428,0.130,0.270
"'silence,' cried wendy when for the twentieth time she had told them that they were not all to speak at once.",0.402,0.617,0.518,0.087,0.995,0.013
go back and fetch me out that doodle-doo,0.558,0.114,0.465,0.116,0.049,0.483
mrs. darling put her hand to her heart and cried,0.598,0.601,0.214,0.338,0.531,0.404
hook winced. ay he said that is the fear that haunts me.,0.903,0.769,0.435,0.414,0.052,0.452
but unfortunately mrs. darling could not leave it hanging out at the window,0.169,0.415,0.600,0.491,0.994,0.029
"spirit that haunts this dark lagoon to-night he cried dost hear me?""",0.101,0.498,0.404,0.525,0.189,0.218
"'no, i won't,' michael rapped out. he was already in his basket.",0.193,0.481,0.491,0.288,0.428,0.428
"i am happy to inform you, mrs. darling, that you are now a mother",0.606,0.822,0.693,0.208,0.863,0.287
"'no,' he answered, pretending indifference, 'i am not going with you, wendy.'",0.118,0.701,0.122,0.548,0.043,0.193
it was saying to die will be an awfully big adventure.,0.463,0.286,0.907,0.149,0.972,0.489
that fiend! mr. darling would cry,0.575,0.234,0.769,0.129,0.970,0.067
"george, george! she cried when she could speak; and mr. darling woke to share her bliss, and nana came rushing in.",0.239,0.788,0.094,0.522,0.497,0.317
"of course we can, george, she cried",0.277,0.792,0.088,0.318,0.583,0.156
"the point is, that there is more in my glass than in michaels spoon. his proud heart was nearly bursting.",0.642,0.193,0.373,0.925,0.521,0.036
these things scared her a little.,0.652,0.426,0.223,0.720,0.049,0.501
"'i am awfully glad she isn't dead,' said tootles.",0.007,0.328,0.306,0.420,0.024,0.419
up at any moment of the night if one of her charges made the slightest cry,0.311,0.689,0.733,0.131,0.982,0.017
"If you don't get up and dress at once i will open the curtains, and then we shall all see you in your negligee.",0.421,0.782,0.624,0.633,0.981,0.037
"They could hear each other's distressed breathing now, which showed them that the more terrible sound had passed.,fear
Bill Jukes dead! cried the startled pirates.""",0.134,0.508,0.658,0.765,0.564,0.178
"Captain, mercy! Starkey whimpered, all of a tremble now.",0.481,0.695,0.570,0.654,0.713,0.166
To the pirates it was a voice crying that all the boys lay slain in the cabin; and they were panic-stricken.,0.171,0.276,0.569,0.202,0.979,0.134
In that frightful moment I think his fierce heart broke.,0.171,0.865,0.814,0.620,0.428,0.337
"She praised them equally, and shuddered delightfully when Michael showed her the place where he had killed one",0.430,0.584,0.144,0.467,0.164,0.238
They dared not express their wishes to him even in a round robin.,0.607,0.611,0.002,0.612,0.815,0.211
"They have been planning it out on the ship: mother's rapture, father's shout of joy",0.328,0.064,0.011,0.201,0.551,0.161
"Nana's leap through the air to embrace them first, when what they ought to be prepared for is a good hiding.",0.359,0.967,0.541,0.851,0.915,0.441
"And there never was a more humble man than the once proud George Darling, as he sat in the kennel of an evening talking with his wife of their children and all their pretty ways.",0.080,0.271,0.840,0.917,0.916,0.379
"Outside, the crowd who had accompanied the cab home were still cheering",0.115,0.151,0.253,0.723,0.957,0.446
"For some time he sat with his head out of the kennel, talking with Mrs. Darling of this success, and pressing her hand reassuringly when she said she hoped his head would not be turned by it.",0.174,0.771,0.240,0.802,0.508,0.256
"Won't you play me to sleep, he asked, on the nursery piano? and as she was crossing to the day-nursery he added thoughtlessly",0.188,0.758,0.414,0.707,0.328,0.072
"He peeped in again to see why the music had stopped, and now he saw that Mrs. Darling had laid her head on the box, and that two tears were sitting on her eyes.",0.080,0.136,0.979,0.991,0.814,0.298
"That's Michael, she said, and she stretched out her arms for the three little selfish children they would never envelop again.",0.193,0.395,0.131,0.455,0.310,0.178
"Mr. Darling woke to share her bliss, and Nana came rushing in.",0.200,0.644,0.202,0.388,0.332,0.400
"Then he burst into tears, and the truth came out.",0.868,0.512,0.242,0.932,0.172,0.322
"I should love you in a beard; and Mrs. Darling stretched out her arms to him, but he repulsed her.",0.610,0.469,0.207,0.959,0.347,0.402
"How lovely, cried Wendy so longingly that Mrs. Darling tightened her grip.",0.726,0.492,0.723,0.041,0.341,0.644
"He was exactly as fascinating as ever, and they had a lovely spring cleaning in the little house on the tree tops.",0.380,0.092,0.986,0.726,0.592,0.288
