text,joy,sadness,anger,love,thankfulness,fear
"�Umf! Well, you didn�t get a lick amiss, I reckon. You been into some other audacious mischief when I wasn�t around, like enough.�",0.769,0.664,0.712,0.512,0.858,0.341
Tom sulked in a corner and exalted his woes. ,0.430,0.469,0.973,0.779,0.312,0.090
"But he would lie there cold and white and make no sign�a poor little sufferer, whose griefs were at an end. ",0.717,0.218,0.899,0.335,0.995,0.005
"He so worked upon his feelings with the pathos of these dreams, that he had to keep swallowing, he was so like to choke; ",0.252,0.214,0.681,0.793,0.817,0.055
"his eyes swam in a blur of water, which overflowed when he winked, and ran down and trickled from the end of his nose. ",0.911,0.638,0.764,0.679,0.236,0.419
"Mary danced in, all alive with the joy of seeing home again after an age-long visit of one week to the country ",0.829,0.228,0.348,0.344,0.361,0.397
"This picture brought such an agony of pleasurable suffering that he worked it over and over again in his mind and set it up in new and varied lights, till he wore it threadbare. ",0.221,0.437,0.945,0.350,0.662,0.090
At last he rose up sighing and departed in the darkness. ,0.803,0.565,0.167,0.160,0.991,0.010
"thus he would die�out in the cold world, with no shelter over his homeless head, no friendly hand to wipe the death-damps from his brow, no loving face to bend pityingly over him when the great agony came. ",0.531,0.926,0.972,0.446,0.208,0.676
under the double pressure of curiosity and prospective gain he did it with such spirit that he accomplished a shining success. ,0.178,0.669,0.569,0.725,0.303,0.096
"�Now ain�t you ashamed, Tom. You mustn�t be so bad. Water won�t hurt you.�",0.522,0.733,0.975,0.259,0.194,0.445
But when he saw this small newcomer his soul was all ablaze with bliss in a moment. ,0.479,0.495,0.180,0.372,0.904,0.031
the great man sat and beamed a majestic judicial smile upon all the house ,0.835,0.659,0.934,0.894,0.120,0.327
"Amy Lawrence was proud and glad, and she tried to make Tom see it in her face ",0.122,0.503,0.649,0.833,0.548,0.215
and then her heart broke ,0.754,0.547,0.344,0.590,0.378,0.387
"she was jealous, and angry, and the tears came and she hated everybody. ",0.345,0.475,0.506,0.944,0.946,0.120
"�Words cannot express it; it is too beautiful, TOO beautiful for this mortal earth.�",0.562,0.892,0.315,0.984,0.438,0.162
"He surveyed the prize; walked around it; smelt at it from a safe distance; walked around it again; grew bolder, and took a closer smell; then lifted his lip and made a gingerly snatch at it, just missing it; made another, and another; began to enjoy the diversion; ",0.183,0.415,0.753,0.752,0.985,0.344
The neighboring spectators shook with a gentle inward joy ,0.282,0.360,0.757,0.883,0.887,0.121
Tom was entirely happy. ,0.422,0.083,0.993,0.078,0.954,0.336
Monday morning always found him so�because it began another week�s slow suffering in school ,0.483,0.417,0.427,0.510,0.510,0.594
"Oh, Tom, you ain�t dying, are you? Don�t, Tom�oh, don�t. Maybe� ",0.610,0.613,0.148,0.106,0.767,0.164
Tom was suffering in reality ,0.178,0.229,0.877,0.775,0.952,0.361
"�Thomas Sawyer, this is the most astounding confession I have ever listened to. No mere ferule will answer for this offence. Take off your jacket.�",0.393,0.005,0.337,0.946,0.333,0.170
"His hand wandered into his pocket and his face lit up with a glow of gratitude that was prayer, though he did not know it. ",0.075,0.594,0.967,0.869,0.831,0.314
Joe was angry in a moment. ,0.399,0.343,0.298,0.111,0.922,0.089
"�I don�t care whose tick he is�he�s on my side of the line, and you sha�n�t touch him.�",0.470,0.739,0.920,0.147,0.355,0.090
"�Oh, are you! That will be nice. They�re so lovely, all spotted up.�",0.813,0.474,0.420,0.300,0.542,0.504
"She bent timidly around till her breath stirred his curls and whispered, �I�love�you!� ",0.795,0.858,0.609,0.655,0.334,0.142
"Now, Becky, it�s all done�all over but the kiss. ",0.056,0.681,0.790,0.267,0.723,0.380
"By and by she gave up, and let her hands drop; her face, all glowing with the struggle, came up and submitted. ",0.773,0.419,0.944,0.880,0.117,0.059
"�Now it�s all done, Becky. And always after this, you know, you ain�t ever to love anybody but me, and you ain�t ever to marry anybody but me, ever never and forever. Will you?�",0.709,0.867,0.004,0.504,0.114,0.540
"you choose me and I choose you at parties, because that�s the way you do when you�re engaged. ",0.475,0.184,0.429,0.602,0.938,0.014
The child began to cry.,0.464,0.178,0.624,0.774,0.902,0.105
"Tom tried to put his arm about her neck, but she pushed him away and turned her face to the wall, and went on crying.",0.110,0.753,0.955,0.925,0.333,0.289
"She was still standing back there in the corner, sobbing, with her face to the wall.",0.471,0.510,0.849,0.542,0.873,0.352
Then he began to feel badly and fear that he was in the wrong.,0.008,0.075,0.898,0.115,0.856,0.176
She had no companions but silence and loneliness.,0.465,0.608,0.041,0.201,0.439,0.283
So she sat down to cry again and upbraid herself;,0.070,0.608,0.442,0.917,0.887,0.369
"He would have tossed and fidgeted, as his nerves demanded, but he was afraid he might wake Sid.",0.009,0.702,0.879,0.884,0.415,0.161
"Tom feared it might be the spirits of the dead, complaining at being disturbed.",0.031,0.652,0.401,0.577,0.995,0.010
"They glanced backward over their shoulders from time to time, apprehensively, as if they feared they might be followed.",0.185,0.346,0.261,0.177,0.907,0.146
"He sat down and tried to seem gay, but it was up-hill work; it roused no smile, no response, and he lapsed into silence and let his heart sink down to the depths.",0.680,0.424,0.063,0.868,0.529,0.099
"He cried, he pleaded for forgiveness, promised to reform over and over again, and then received his dismissal, feeling that he had won but an imperfect forgiveness and established but a feeble confidence.",0.328,0.410,0.169,0.860,0.107,0.140
"This was worse than a thousand whippings, and Tom�s heart was sorer now than his body.",0.205,0.121,0.985,0.576,0.948,0.092
"After a long time he slowly and sadly changed his position, and took up this object with a sigh.",0.886,0.774,0.843,0.578,0.653,0.106
Now Tom shivered from head to heel; for his eye fell upon the stolid face of Injun Joe.,0.545,0.949,0.511,0.216,0.826,0.250
"The poor fellow�s face was haggard, and his eyes showed the fear that was upon him.",0.105,0.262,0.959,0.061,0.887,0.281
Tom�s fearful secret and gnawing conscience disturbed his sleep for as much as a week after this,0.847,0.958,0.031,0.089,0.554,0.189
"He began to find himself hanging around her father�s house, nights, and feeling very miserable.",0.071,0.896,0.974,0.923,0.118,0.245
"Yet notwithstanding all this, the boy grew more and more melancholy and pale and dejected.",0.274,0.707,0.031,0.972,0.687,0.277
She tasted it and was filled with gratitude.,0.779,0.424,0.523,0.583,0.853,0.110
his aunt ended by telling him to help himself and quit bothering her.,0.452,0.885,0.865,0.621,0.562,0.172
"he rose on his hind feet and pranced around, in a frenzy of enjoyment, with his head over his shoulder and his voice proclaiming his unappeasable happiness.",0.623,0.939,0.058,0.458,0.235,0.241
Tom lay on the floor expiring with laughter.,0.909,0.278,0.385,0.680,0.879,0.397
"�Tom, what on earth ails that cat?�",0.678,0.158,0.485,0.464,0.742,0.067
Hadn�t any aunt!�you numskull. What has that got to do with it?,0.474,0.424,0.316,0.219,0.791,0.028
"Her eyes watered a little, and she put her hand on Tom�s head and said gently",0.201,0.865,0.148,0.915,0.135,0.524
"he gazed a moment, and then turned sorrowfully away.",0.017,0.404,0.037,0.487,0.058,0.157
"He gathered himself up and sneaked off, crushed and crestfallen.",0.396,0.587,0.816,0.880,0.115,0.305
He was gloomy and desperate.,0.439,0.033,0.915,0.833,0.838,0.080
"He sobbed, now, to think he should never, never hear that old familiar sound any more�it was very hard, but it was forced on him",0.190,0.297,0.869,0.111,0.974,0.048
"The Black Avenger stood still with folded arms, �looking his last� upon the scene of his former joys and his later sufferings, and wishing �she� could see him now, abroad on the wild sea, facing peril and death with dauntless heart, going to his doom with a grim smile on his lips.",0.199,0.879,0.971,0.365,0.429,0.130
"�And don�t they wear the bulliest clothes! Oh no! All gold and silver and di�monds,� said Joe, with enthusiasm.",0.197,0.873,0.074,0.184,0.290,0.122
They began to feel a vague fear that they had been doing wrong to run away,0.091,0.385,0.816,0.380,0.638,0.203
The marvel of Nature shaking off sleep and going to work unfolded itself to the musing boy.,0.143,0.629,0.977,0.919,0.782,0.059
"They came back to camp wonderfully refreshed, glad-hearted, and ravenous; and they soon had the camp-fire blazing up again.",0.685,0.082,0.332,0.929,0.746,0.231
"Misgivings came; they grew troubled and unhappy; a sigh or two escaped, unawares.",0.691,0.662,0.556,0.923,0.788,0.102
"The boys cried out to each other, but the roaring wind and the booming thunderblasts drowned their voices utterly.",0.140,0.570,0.217,0.523,0.206,0.391
but to have company in misery seemed something to be grateful for.,0.052,0.525,0.983,0.610,0.162,0.187
"one by one they straggled in at last and took shelter under the tent, cold, scared, and streaming with water;",0.096,0.582,0.730,0.874,0.985,0.052
"He reminded them of the imposing secret, and raised a ray of cheer.",0.109,0.162,0.973,0.208,0.166,0.228
"And behold, they were glad they had gone into savagery, for they had gained something;",0.002,0.048,0.635,0.149,0.929,0.054
They were prouder and happier in their new acquirement than they would have been in the scalping and skinning of the Six Nations.,0.379,0.471,0.544,0.858,0.934,0.094
"In the afternoon Becky Thatcher found herself moping about the deserted schoolhouse yard, and feeling very melancholy.",0.154,0.812,0.716,0.850,0.706,0.822
"This thought broke her down, and she wandered away, with tears rolling down her cheeks.",0.876,0.285,0.543,0.995,0.766,0.231
"There was another communing silence, broken at intervals by muffled sobs, and then the minister spread his hands abroad and prayed.",0.516,0.182,0.859,0.528,0.994,0.019
"His aunt Polly stood surprised a moment, and then broke into a gentle laugh.",0.702,0.178,0.096,0.140,0.098,0.276
