text,joy,sadness,anger,love,thankfulness,fear
"She wanted to risk it, come what might, but that was not his way; his way was with a pencil and a piece of paper, and if she confused him with suggestions he had to begin at the beginning again.",0.337,0.362,0.993,0.970,0.913,0.022
"Now don't interrupt, he would beg of her.",0.437,0.718,0.340,0.635,0.242,0.162
"I have one pound seventeen here, and two and six at the office; I can cut off my coffee at the office, say ten shillings, making two nine and six, with your eighteen and three makes three nine seven, with five naught naught in my cheque-book makes eight nine seven who is that moving?",0.068,0.351,0.972,0.988,0.928,0.018
"eight nine seven, dot and carry seven don't speak, my own and the pound you lent to that man who came to the door quiet, child dot and carry child there, you've done it!",0.145,0.787,0.814,0.870,0.377,0.227
did I say nine nine seven?,0.554,0.436,0.729,0.851,0.415,0.711
"yes, I said nine nine seven; the question is, can we try it for a year on nine nine seven?",0.454,0.783,0.708,0.784,0.247,0.225
"Of course we can, George, she cried.",0.277,0.792,0.088,0.318,0.583,0.156
"But she was prejudiced in Wendy's favour, and he was really the grander character of the two.",0.169,0.377,0.910,0.888,0.952,0.198
"Remember mumps, he warned her almost threateningly, and off he went again.",0.701,0.956,0.332,0.502,0.138,0.102
"Mumps one pound, that is what I have put down, but I daresay it will be more like thirty shillings don't speak measles one five, German measles half a guinea, makes two fifteen six don't waggle your finger whooping-cough, say fifteen shillings and so on it went, and it added up differently each time; but",0.178,0.651,0.877,0.927,0.950,0.082
"at last Wendy just got through, with mumps reduced to twelve six, and the two kinds of measles treated as one.",0.543,0.956,0.885,0.789,0.984,0.014
"There was the same excitement over John, and Michael had even a narrower squeak; but both were kept, and soon, you might have seen the three of them going in a row to Miss Fulsom's Kindergarten school, accompanied by their nurse.",0.255,0.766,0.191,0.655,0.725,0.234
"Mrs. Darling loved to have everything just so, and Mr. Darling had a passion for being exactly like his neighbours; so, of course, they had a nurse.",0.847,0.155,0.935,0.121,0.926,0.143
"As they were poor, owing to the amount of milk the children drank, this nurse was a prim Newfoundland dog, called Nana, who had belonged to no one in particular until the Darlings engaged her.",0.386,0.026,0.871,0.907,0.917,0.158
"She had always thought children important, however, and the Darlings had become acquainted with her in Kensington Gardens, where she spent most of her spare time peeping into perambulators, and was much hated by careless nursemaids, whom she followed to their homes and complained of to their mistresses.",0.140,0.520,0.829,0.923,0.944,0.307
She proved to be quite a treasure of a nurse.,0.165,0.871,0.060,0.066,0.349,0.127
"How thorough she was at bath-time, and up at any moment of the night if one of her charges made the slightest cry.",0.483,0.587,0.802,0.533,0.997,0.008
Of course her kennel was in the nursery.,0.412,0.681,0.357,0.458,0.923,0.279
She had a genius for knowing when a cough is a thing to have no patience with and when it needs stocking around your throat.,0.612,0.442,0.818,0.972,0.644,0.127
"She believed to her last day in old-fashioned remedies like rhubarb leaf, and made sounds of contempt over all this new-fangled talk about germs, and so on.",0.747,0.682,0.482,0.744,0.814,0.092
"It was a lesson in propriety to see her escorting the children to school, walking sedately by their side when they were well behaved, and butting them back into line if they strayed.",0.669,0.308,0.945,0.445,0.944,0.100
"On John's footer days she never once forgot his sweater, and she usually carried an umbrella in her mouth in case of rain.",0.278,0.936,0.925,0.588,0.399,0.957
There is a room in the basement of Miss Fulsom's school where the nurses wait.,0.327,0.744,0.044,0.951,0.746,0.477
"They sat on forms, while Nana lay on the floor, but that was the only difference.",0.790,0.130,0.612,0.192,0.941,0.118
"They affected to ignore her as of an inferior social status to themselves, and she despised their light talk.",0.073,0.734,0.462,0.429,0.119,0.038
"She resented visits to the nursery from Mrs. Darling's friends, but if they did come she first whipped off Michael's pinafore and put him into the one with blue braiding, and smoothed out Wendy and made a dash at John's hair.",0.652,0.897,0.477,0.747,0.989,0.026
"No nursery could possibly have been conducted more correctly, and Mr. Darling knew it, yet he sometimes wondered uneasily whether the neighbours talked.",0.359,0.597,0.926,0.691,0.293,0.294
He had his position in the city to consider.,0.213,0.913,0.950,0.244,0.033,0.241
Nana also troubled him in another way.,0.683,0.151,0.177,0.548,0.446,0.341
He had sometimes a feeling that she did not admire him.,0.047,0.586,0.716,0.341,0.698,0.213
"I know she admires you tremendously, George, Mrs. Darling would assure him, and then she would sign to the children to be specially nice to father.",0.421,0.412,0.978,0.203,0.743,0.200
"Lovely dances followed, in which the only other servant, Liza, was sometimes allowed to join.",0.393,0.577,0.936,0.060,0.954,0.206
"Such a midget she looked in her long skirt and maid's cap, though she had sworn, when engaged, that she would never see ten again.",0.267,0.368,0.530,0.930,0.168,0.050
The gaiety of those romps!,0.568,0.557,0.188,0.580,0.045,0.628
"And gayest of all was Mrs. Darling, who would pirouette so wildly that all you could see of her was the kiss, and then if you had dashed at her you might have got it.",0.128,0.367,0.866,0.900,0.985,0.108
There never was a simpler happier family until the coming of Peter Pan.,0.447,0.191,0.630,0.012,0.982,0.142
Mrs. Darling first heard of Peter when she was tidying up her children's minds.,0.459,0.162,0.939,0.076,0.856,0.499
"It is the nightly custom of every good mother after her children are asleep to rummage in their minds and put things straight for next morning, repacking into their proper places the many articles that have wandered during the day.",0.829,0.885,0.940,0.969,0.595,0.162
"If you could keep awake (but of course you can't) you would see your own mother doing this, and you would find it very interesting to watch her.",0.141,0.829,0.776,0.413,0.644,0.069
It is quite like tidying up drawers.,0.654,0.645,0.904,0.482,0.813,0.236
"You would see her on her knees, I expect, lingering humorously over some of your contents, wondering where on earth you had picked this thing up, making discoveries sweet and not so sweet, pressing this to her cheek as if it were as nice as a kitten, and hurriedly stowing that out of sight.",0.555,0.665,0.955,0.838,0.833,0.182
"When you wake in the morning, the naughtiness and evil passions with which you went to bed have been folded up small and placed at the bottom of your mind and on the top, beautifully aired, are spread out your prettier thoughts, ready for you to put on.",0.423,0.903,0.807,0.804,0.982,0.023
I don't know whether you have ever seen a map of a person's mind.,0.585,0.706,0.456,0.284,0.070,0.629
"Doctors sometimes draw maps of other parts of you, and your own map can become intensely interesting, but catch them trying to draw a map of a child's mind, which is not only confused, but keeps going round all the time.",0.625,0.648,0.255,0.859,0.918,0.230
"There are zigzag lines on it, just like your temperature on a card, and these are probably roads in the island, for the Neverland is always more or less an island, with astonishing splashes of colour here and there, and coral reefs and rakish-looking craft in the offing, and savages and lonely lairs, and gnomes",0.741,0.166,0.661,0.977,0.542,0.210
"who are mostly tailors, and caves through which a river runs, and princes with six elder brothers, and a hut fast going to decay, and one very small old lady with a hooked nose.",0.327,0.800,0.738,0.797,0.759,0.080
"It would be an easy map if that were all, but there is also first day at school, religion, fathers, the round pond, needle-work, murders, hangings, verbs that take the dative, chocolate pudding day, getting into braces, say ninety-nine, three-pence for pulling out your tooth yourself, and so on, and either these are part of",0.865,0.679,0.638,0.618,0.785,0.041
"the island or they are another map showing through, and it is all rather confusing, especially as nothing will stand still.",0.236,0.717,0.518,0.876,0.896,0.239
Of course the Neverlands vary a good deal.,0.720,0.243,0.374,0.348,0.389,0.637
"John's, for instance, had a lagoon with flamingoes flying over it at which John was shooting, while Michael, who was very small, had a flamingo with lagoons flying over it.",0.089,0.103,0.436,0.890,0.990,0.041
"John lived in a boat turned upside down on the sands, Michael in a wigwam, Wendy in a house of leaves deftly sewn together.",0.378,0.749,0.183,0.849,0.407,0.188
"John had no friends, Michael had friends at night, Wendy had a pet wolf forsaken by its parents, but on the whole the Neverlands have a family resemblance, and if they stood still in a row you could say of them that they have each other's nose, and so forth.",0.310,0.677,0.386,0.923,0.441,0.329
On these magic shores children at play are for ever beaching their coracles.,0.706,0.248,0.053,0.542,0.995,0.014
"We too have been there; we can still hear the sound of the surf, though we shall land no more.",0.412,0.440,0.082,0.324,0.702,0.090
"Of all delectable islands the Neverland is the snuggest and most compact, not large and sprawly, you know, with tedious distances between one adventure and another, but nicely crammed.",0.288,0.840,0.631,0.990,0.250,0.364
"When you play at it by day with the chairs and table-cloth, it is not in the least alarming, but in the two minutes before you go to sleep it becomes very real.",0.212,0.856,0.760,0.951,0.979,0.063
That is why there are night-lights.,0.260,0.911,0.970,0.677,0.939,0.074
"Occasionally in her travels through her children's minds Mrs. Darling found things she could not understand, and of these quite the most perplexing was the word Peter.",0.739,0.420,0.908,0.161,0.780,0.367
"She knew of no Peter, and yet he was here and there in John and Michael's minds, while Wendy's began to be scrawled all over with him.",0.111,0.751,0.598,0.539,0.840,0.493
"The name stood out in bolder letters than any of the other words, and as Mrs. Darling gazed she felt that it had an oddly cocky appearance.",0.370,0.164,0.727,0.407,0.210,0.446
"Yes, he is rather cocky, Wendy admitted with regret.",0.392,0.853,0.293,0.598,0.283,0.374
Her mother had been questioning her.,0.247,0.508,0.056,0.712,0.130,0.263
"But who is he, my pet?",0.354,0.439,0.419,0.924,0.033,0.373
"He is Peter Pan, you know, mother.",0.403,0.325,0.397,0.298,0.036,0.276
"At first Mrs. Darling did not know, but after thinking back into her childhood she just remembered a Peter Pan who was said to live with the fairies.",0.674,0.193,0.427,0.497,0.979,0.175
"There were odd stories about him, as that when children died he went part of the way with them, so that they should not be frightened.",0.146,0.602,0.592,0.336,0.884,0.058
"She had believed in him at the time, but now that she was married and full of sense she quite doubted whether there was any such person.",0.343,0.248,0.887,0.684,0.960,0.021
"Besides, she said to Wendy, he would be grown up by this time.",0.270,0.343,0.429,0.548,0.208,0.125
"Oh no, he isn't grown up, Wendy assured her confidently, and he is just my size.",0.196,0.853,0.045,0.772,0.063,0.173
"She meant that he was her size in both mind and body; she didn't know how she knew, she just knew it.",0.051,0.921,0.453,0.733,0.531,0.218
"Mrs. Darling consulted Mr. Darling, but he smiled pooh-pooh.",0.769,0.840,0.938,0.467,0.563,0.412
"Mark my words, he said, it is some nonsense Nana has been putting into their heads; just the sort of idea a dog would have.",0.588,0.355,0.744,0.816,0.748,0.061
"Leave it alone, and it will blow over.",0.284,0.484,0.271,0.478,0.847,0.033
But it would not blow over and soon the troublesome boy gave Mrs. Darling quite a shock.,0.669,0.329,0.556,0.177,0.446,0.324
Children have the strangest adventures without being troubled by them.,0.128,0.765,0.553,0.844,0.591,0.192
"For instance, they may remember to mention, a week after the event happened, that when they were in the wood they had met their dead father and had a game with him.",0.170,0.077,0.597,0.832,0.959,0.123
It was in this casual way that Wendy one morning made a disquieting revelation.,0.219,0.498,0.504,0.322,0.959,0.424
"Some leaves of a tree had been found on the nursery floor, which certainly were not there when the children went to bed, and Mrs. Darling was puzzling over them when Wendy said with a tolerant smile:",0.833,0.149,0.893,0.904,0.953,0.211
I do believe it is that Peter again!,0.582,0.334,0.316,0.509,0.746,0.060
"Whatever do you mean, Wendy?",0.017,0.768,0.037,0.694,0.156,0.023
"It is so naughty of him not to wipe his feet, Wendy said, sighing.",0.523,0.762,0.828,0.767,0.065,0.297
She was a tidy child.,0.542,0.080,0.986,0.151,0.860,0.040
She explained in quite a matter-of-fact way that she thought Peter sometimes came to the nursery in the night and sat on the foot of her bed and played on his pipes to her.,0.398,0.892,0.735,0.744,0.866,0.191
"Unfortunately she never woke, so she didn't know how she knew, she just knew.",0.116,0.961,0.421,0.821,0.074,0.091
"What nonsense you talk, precious.",0.405,0.736,0.549,0.278,0.704,0.105
No one can get into the house without knocking.,0.315,0.302,0.849,0.379,0.499,0.024
"I think he comes in by the window, she said.",0.183,0.291,0.464,0.464,0.262,0.264
"My love, it is three floors up.",0.395,0.869,0.526,0.876,0.188,0.349
"Were not the leaves at the foot of the window, mother?",0.069,0.863,0.160,0.814,0.996,0.021
It was quite true; the leaves had been found very near the window.,0.742,0.503,0.351,0.302,0.772,0.385
"Mrs. Darling did not know what to think, for it all seemed so natural to Wendy that you could not dismiss it by saying she had been dreaming.",0.466,0.341,0.909,0.482,0.924,0.294
"My child, the mother cried, why did you not tell me of this before?",0.462,0.361,0.752,0.478,0.585,0.283
"I forgot, said Wendy lightly.",0.627,0.572,0.358,0.446,0.064,0.467
She was in a hurry to get her breakfast.,0.228,0.162,0.481,0.196,0.817,0.104
"Oh, surely she must have been dreaming.",0.345,0.879,0.557,0.134,0.502,0.176
"But, on the other hand, there were the leaves.",0.260,0.773,0.320,0.479,0.929,0.205
"Mrs. Darling examined them very carefully; they were skeleton leaves, but she was sure they did not come from any tree that grew in England.",0.001,0.440,0.501,0.595,0.972,0.080
"She crawled about the floor, peering at it with a candle for marks of a strange foot.",0.467,0.376,0.358,0.534,0.992,0.010
She rattled the poker up the chimney and tapped the walls.,0.024,0.922,0.784,0.538,0.345,0.233
"She let down a tape from the window to the pavement, and it was a sheer drop of thirty feet, without so much as a spout to climb up by.",0.067,0.179,0.364,0.983,0.636,0.085
Certainly Wendy had been dreaming.,0.888,0.828,0.600,0.242,0.469,0.196
"But Wendy had not been dreaming, as the very next night showed, the night on which the extraordinary adventures of these children may be said to have begun.",0.334,0.287,0.145,0.675,0.534,0.407
On the night we speak of all the children were once more in bed.,0.055,0.589,0.440,0.184,0.971,0.089
"It happened to be Nana's evening off, and Mrs. Darling had bathed them and sung to them till one by one they had let go her hand and slid away into the land of sleep.",0.634,0.379,0.323,0.909,0.660,0.356
All were looking so safe and cosy that she smiled at her fears now and sat down tranquilly by the fire to sew.,0.579,0.826,0.580,0.152,0.991,0.020
"It was something for Michael, who on his birthday was getting into shirts.",0.550,0.039,0.929,0.466,0.931,0.112
"The fire was warm, however, and the nursery dimly lit by three night-lights, and presently the sewing lay on Mrs. Darling's lap.",0.692,0.406,0.970,0.460,0.957,0.288
"Then her head nodded, oh, so gracefully.",0.292,0.959,0.091,0.525,0.844,0.130
She was asleep.,0.597,0.131,0.856,0.307,0.952,0.171
"Look at the four of them, Wendy and Michael over there, John here, and Mrs. Darling by the fire.",0.557,0.170,0.675,0.022,0.969,0.084
There should have been a fourth night-light.,0.744,0.358,0.066,0.436,0.381,0.208
While she slept she had a dream.,0.495,0.673,0.439,0.482,0.257,0.156
She dreamt that the Neverland had come too near and that a strange boy had broken through from it.,0.551,0.749,0.028,0.743,0.117,0.242
"He did not alarm her, for she thought she had seen him before in the faces of many women who have no children.",0.165,0.171,0.892,0.764,0.564,0.130
Perhaps he is to be found in the faces of some mothers also.,0.874,0.514,0.343,0.929,0.662,0.608
"But in her dream he had rent the film that obscures the Neverland, and she saw Wendy and John and Michael peeping through the gap.",0.672,0.888,0.887,0.572,0.140,0.219
"The dream by itself would have been a trifle, but while she was dreaming the window of the nursery blew open, and a boy did drop on the floor.",0.985,0.720,0.743,0.931,0.920,0.102
"He was accompanied by a strange light, no bigger than your fist, which darted about the room like a living thing and I think it must have been this light that wakened Mrs. Darling.",0.851,0.268,0.927,0.905,0.977,0.218
"She started up with a cry, and saw the boy, and somehow she knew at once that he was Peter Pan.",0.386,0.165,0.790,0.730,0.993,0.015
If you or I or Wendy had been there we should have seen that he was very like Mrs. Darling's kiss.,0.374,0.833,0.512,0.083,0.977,0.155
"He was a lovely boy, clad in skeleton leaves and the juices that ooze out of trees but the most entrancing thing about him was that he had all his first teeth.",0.828,0.091,0.966,0.664,0.804,0.447
"When he saw she was a grown-up, he gnashed the little pearls at her.",0.574,0.218,0.813,0.420,0.990,0.010
"Mrs. Darling screamed, and, as if in answer to a bell, the door opened, and Nana entered, returned from her evening out.",0.485,0.168,0.818,0.260,0.576,0.430
"She growled and sprang at the boy, who leapt lightly through the window.",0.346,0.714,0.378,0.412,0.991,0.077
"Again Mrs. Darling screamed, this time in distress for him, for she thought he was killed, and she ran down into the street to look for his little body, but it was not there; and she looked up, and in the black night she could see nothing but what she thought was a shooting star.",0.706,0.501,0.934,0.934,0.975,0.028
"She returned to the nursery, and found Nana with something in her mouth, which proved to be the boy's shadow.",0.260,0.166,0.971,0.891,0.422,0.341
"As he leapt at the window Nana had closed it quickly, too late to catch him, but his shadow had not had time to get out; slam went the window and snapped it off.",0.251,0.592,0.641,0.907,0.794,0.140
"You may be sure Mrs. Darling examined the shadow carefully, but it was quite the ordinary kind.",0.883,0.532,0.752,0.746,0.880,0.494
Nana had no doubt of what was the best thing to do with this shadow.,0.397,0.072,0.967,0.524,0.820,0.096
"She hung it out at the window, meaning He is sure to come back for it; let us put it where he can get it easily without disturbing the children.",0.107,0.374,0.334,0.937,0.944,0.012
"But unfortunately Mrs. Darling could not leave it hanging out at the window, it looked so like the washing and lowered the whole tone of the house.",0.111,0.404,0.831,0.716,0.907,0.024
"She thought of showing it to Mr. Darling, but he was totting up winter great-coats for John and Michael, with a wet towel around his head to keep his brain clear, and it seemed a shame to trouble him; besides, she knew exactly what he would say: It all comes of having a dog for",0.761,0.703,0.998,0.953,0.960,0.092
"She decided to roll the shadow up and put it away carefully in a drawer, until a fitting opportunity came for telling her husband.",0.250,0.512,0.141,0.801,0.797,0.911
"The opportunity came a week later, on that never-to-be-forgotten Friday.",0.348,0.634,0.603,0.285,0.449,0.405
Of course it was a Friday.,0.540,0.059,0.776,0.220,0.967,0.143
"I ought to have been specially careful on a Friday, she used to say afterwards to her husband, while perhaps Nana was on the other side of her, holding her hand.",0.580,0.627,0.296,0.866,0.820,0.474
"No, no, Mr. Darling always said, I am responsible for it all.",0.087,0.186,0.848,0.279,0.194,0.266
"I, George Darling, did it.",0.153,0.445,0.630,0.239,0.951,0.641
"Mea culpa, mea culpa.",0.984,0.640,0.194,0.929,0.279,0.175
He had had a classical education.,0.090,0.107,0.770,0.478,0.077,0.366
"They sat thus night after night recalling that fatal Friday, till every detail of it was stamped on their brains and came through on the other side like the faces on a bad coinage.",0.807,0.690,0.433,0.831,0.914,0.205
"If only I had not accepted that invitation to dine at 27, Mrs. Darling said.",0.571,0.836,0.344,0.099,0.992,0.041
"If only I had not poured my medicine into Nana's bowl, said Mr. Darling.",0.864,0.605,0.483,0.097,0.210,0.442
"If only I had pretended to like the medicine, was what Nana's wet eyes said.",0.568,0.210,0.674,0.297,0.964,0.642
"My liking for parties, George.",0.492,0.858,0.321,0.577,0.037,0.545
"My fatal gift of humour, dearest.",0.952,0.160,0.062,0.912,0.289,0.451
"My touchiness about trifles, dear master and mistress.",0.685,0.335,0.021,0.398,0.170,0.275
"Then one or more of them would break down altogether; Nana at the thought, It's true, it's true, they ought not to have had a dog for a nurse.",0.471,0.624,0.770,0.572,0.980,0.010
Many a time it was Mr. Darling who put the handkerchief to Nana's eyes.,0.507,0.059,0.918,0.209,0.889,0.773
"Mr. Darling would cry, and Nana's bark was the echo of it, but Mrs. Darling never upbraided Peter; there was something in the right-hand corner of her mouth that wanted her not to call Peter names.",0.381,0.197,0.892,0.327,0.979,0.214
"They would sit there in the empty nursery, recalling fondly every smallest detail of that dreadful evening.",0.199,0.541,0.730,0.621,0.627,0.151
"It had begun so uneventfully, so precisely like a hundred other evenings, with Nana putting on the water for Michael's bath and carrying him to it on her back.",0.157,0.899,0.753,0.948,0.821,0.372
"I won't go to bed, he had shouted, like one who still believed that he had the last word on the subject, I won't, I won't.",0.140,0.890,0.286,0.453,0.758,0.347
"Nana, it isn't six o'clock yet.",0.401,0.427,0.223,0.125,0.179,0.177
"oh dear, I shan't love you any more, Nana.",0.516,0.540,0.412,0.047,0.218,0.217
"I tell you I won't be bathed, I won't, I won't!",0.352,0.945,0.297,0.237,0.341,0.279
"Then Mrs. Darling had come in, wearing her white evening-gown.",0.064,0.200,0.713,0.102,0.217,0.224
"She had dressed early because Wendy so loved to see her in her evening-gown, with the necklace George had given her.",0.258,0.907,0.286,0.457,0.316,0.162
She was wearing Wendy's bracelet on her arm; she had asked for the loan of it.,0.150,0.081,0.435,0.401,0.608,0.097
Wendy loved to lend her bracelet to her mother.,0.032,0.788,0.065,0.763,0.096,0.053
"She had found her two older children playing at being herself and father on the occasion of Wendy's birth, and John was saying:",0.169,0.292,0.885,0.855,0.991,0.137
"I am happy to inform you, Mrs. Darling, that you are now a mother, in just such a tone as Mr. Darling himself may have used on the real occasion.",0.636,0.509,0.853,0.290,0.745,0.287
"Wendy had danced with joy, just as the real Mrs. Darling must have done.",0.742,0.854,0.604,0.072,0.274,0.449
"Then John was born, with the extra pomp that he conceived due to the birth of a male, and Michael came from his bath to ask to be born also, but John said brutally that they did not want any more.",0.398,0.519,0.318,0.926,0.837,0.311
Michael had nearly cried.,0.585,0.157,0.042,0.230,0.013,0.283
"Nobody wants me, he said, and of course the lady in the evening-dress could not stand that.",0.745,0.169,0.926,0.685,0.549,0.259
"I do, she said, I so want a third child.",0.280,0.413,0.163,0.565,0.238,0.052
"Boy or girl? asked Michael, not too hopefully.",0.284,0.291,0.020,0.393,0.647,0.175
Then he had leapt into her arms.,0.779,0.531,0.371,0.239,0.041,0.308
"Such a little thing for Mr. and Mrs. Darling and Nana to recall now, but not so little if that was to be Michael's last night in the nursery.",0.795,0.710,0.222,0.443,0.823,0.156
They go on with their recollections.,0.109,0.106,0.176,0.365,0.836,0.160
"It was then that I rushed in like a tornado, wasn't it?",0.051,0.058,0.988,0.715,0.966,0.238
"Mr. Darling would say, scorning himself; and indeed he had been like a tornado.",0.554,0.261,0.991,0.704,0.874,0.172
Perhaps there was some excuse for him.,0.081,0.437,0.717,0.599,0.934,0.162
"He, too, had been dressing for the party, and all had gone well with him until he came to his tie.",0.689,0.875,0.768,0.299,0.562,0.319
"It is an astounding thing to have to tell, but this man, though he knew about stocks and shares, had no real mastery of his tie.",0.412,0.875,0.514,0.849,0.188,0.233
"Sometimes the thing yielded to him without a contest, but there were occasions when it would have been better for the house if he had swallowed his pride and used a made-up tie.",0.116,0.801,0.884,0.412,0.922,0.103
This was such an occasion.,0.350,0.034,0.824,0.501,0.958,0.122
He came rushing into the nursery with the crumpled little brute of a tie in his hand.,0.627,0.958,0.564,0.640,0.008,0.785
"Why, what is the matter, father dear?",0.650,0.798,0.973,0.929,0.927,0.095
he yelled; he really yelled.,0.043,0.466,0.065,0.935,0.016,0.192
"This tie, it will not tie.",0.065,0.762,0.901,0.743,0.115,0.320
He became dangerously sarcastic.,0.148,0.809,0.490,0.739,0.018,0.226
Not round my neck!,0.268,0.496,0.122,0.840,0.162,0.460
Round the bed-post!,0.595,0.456,0.067,0.616,0.254,0.393
"Oh yes, twenty times have I made it up round the bed-post, but round my neck, no!",0.179,0.290,0.044,0.140,0.301,0.196
Oh dear no!,0.185,0.374,0.101,0.120,0.066,0.119
begs to be excused!,0.247,0.951,0.115,0.496,0.286,0.466
"He thought Mrs. Darling was not sufficiently impressed, and he went on sternly, I warn you of this, mother, that unless this tie is round my neck",0.092,0.611,0.763,0.944,0.889,0.166
"we don't go out to dinner to-night, and if I don't go out to dinner to-night, I never go to the office again, and",0.759,0.958,0.209,0.713,0.575,0.403
"if I don't go to the office again, you and I starve, and our children will be flung into the streets.",0.183,0.853,0.747,0.851,0.295,0.342
Even then Mrs. Darling was placid.,0.876,0.090,0.922,0.032,0.962,0.381
"Let me try, dear, she said, and indeed that was what he had come to ask her to do, and with her nice cool hands she tied his tie for him, while the children stood around to see their fate decided.",0.647,0.573,0.912,0.870,0.413,0.770
"Some men would have resented her being able to do it so easily, but Mr. Darling had far too fine a nature for that; he thanked her carelessly, at once forgot his rage, and in another moment was dancing round the room with Michael on his back.",0.494,0.778,0.654,0.195,0.960,0.033
How wildly we romped!,0.868,0.994,0.283,0.297,0.040,0.323
"says Mrs. Darling now, recalling it.",0.342,0.583,0.147,0.191,0.759,0.582
Our last romp!,0.955,0.406,0.124,0.354,0.016,0.715
Mr. Darling groaned.,0.400,0.236,0.239,0.176,0.575,0.202
"O George, do you remember Michael suddenly said to me, â€˜How did you get to know me, mother?'",0.094,0.554,0.056,0.309,0.664,0.222
"They were rather sweet, don't you think, George?",0.023,0.387,0.106,0.672,0.985,0.085
"And they were ours, ours!",0.067,0.819,0.968,0.157,0.948,0.018
and now they are gone.,0.429,0.721,0.221,0.119,0.978,0.023
"The romp had ended with the appearance of Nana, and most unluckily Mr. Darling collided against her, covering his trousers with hairs.",0.770,0.902,0.977,0.311,0.488,0.161
"They were not only new trousers, but they were the first he had ever had with braid on them, and he had had to bite his lip to prevent the tears coming.",0.377,0.268,0.175,0.987,0.960,0.123
"Of course Mrs. Darling brushed him, but he began to talk again about its being a mistake to have a dog for a nurse.",0.663,0.629,0.846,0.448,0.679,0.051
"George, Nana is a treasure.",0.559,0.846,0.010,0.823,0.293,0.439
"No doubt, but I have an uneasy feeling at times that she looks upon the children as puppies.",0.424,0.194,0.563,0.112,0.960,0.023
"Oh no, dear one, I feel sure she knows they have souls.",0.301,0.168,0.512,0.474,0.228,0.070
"I wonder, Mr. Darling said thoughtfully, I wonder.",0.295,0.303,0.211,0.211,0.286,0.208
"It was an opportunity, his wife felt, for telling him about the boy.",0.278,0.500,0.866,0.113,0.937,0.259
"At first he pooh-poohed the story, but he became thoughtful when she showed him the shadow.",0.256,0.693,0.555,0.772,0.979,0.037
"It is nobody I know, he said, examining it carefully, but it does look a scoundrel.",0.118,0.298,0.757,0.936,0.634,0.320
"We were still discussing it, you remember, says Mr. Darling, when Nana came in with Michael's medicine.",0.581,0.689,0.018,0.527,0.862,0.466
"You will never carry the bottle in your mouth again, Nana, and it is all my fault.",0.059,0.875,0.805,0.760,0.910,0.291
