text,joy,sadness,anger,fear
He carried his own low temperature always about with him; he iced his office in the dog-days; and didn't thaw it one degree at Christmas.,0.960,0.486,0.839,0.043
"No warmth could warm, no wintry weather chill him.",0.016,0.706,0.986,0.105
"No wind that blew was bitterer than he, no falling snow was more intent upon its purpose, no pelting rain less open to entreaty.",0.341,0.520,0.903,0.046
Foul weather didn't know where to have him.,0.115,0.894,0.547,0.772
"The heaviest rain, and snow, and hail, and sleet could boast of the advantage over him in only one respect.",0.737,0.496,0.580,0.315
"Nobody ever stopped him in the street to say, with gladsome looks, ""My dear Scrooge, how are you?",0.382,0.264,0.717,0.274
"No beggars implored him to bestow a trifle, no children asked him what it was o'clock, no man or woman ever once in all his life inquired the way to such and such a place, of Scrooge.",0.063,0.681,0.175,0.337
"Even the blind men's dogs appeared to know him; and, when they saw him coming on, would tug their owners into doorways and up courts; and then would wag their tails as though they said, ""No eye at all is better than an evil eye, dark master!""",0.749,0.192,0.129,0.038
"To edge his way along the crowded paths of life, warning all human sympathy to keep its distance, was what the knowing ones call ""nuts"" to Scrooge.",0.353,0.731,0.983,0.187
"Once upon a time--of all the good days in the year, on Christmas Eve--old Scrooge sat busy in his counting-house.",0.503,0.754,0.760,0.268
"It was cold, bleak, biting weather: foggy withal: and he could hear the people in the court outside go wheezing up and down, beating their hands upon their breasts, and stamping their feet upon the pavement stones to warm them.",0.335,0.507,0.760,0.169
"The City clocks had only just gone three, but it was quite dark already--it had not been light all day--and candles were flaring in the windows of the neighbouring offices, like ruddy smears upon the palpable brown air.",0.466,0.615,0.870,0.221
"The fog came pouring in at every chink and keyhole, and was so dense without, that, although the court was of the narrowest, the houses opposite were mere phantoms.",0.374,0.342,0.796,0.026
"To see the dingy cloud come drooping down, obscuring everything, one might have thought that nature lived hard by and was brewing on a large scale.",0.172,0.155,0.979,0.106
"The door of Scrooge's counting-house was open, that he might keep his eye upon his clerk, who in a dismal little cell beyond, a sort of tank, was copying letters.",0.292,0.177,0.996,0.146
"But he couldn't replenish it, for Scrooge kept the coal-box in his own room; and so surely as the clerk came in with the shovel, the master predicted that it would be necessary for them to part.",0.722,0.747,0.875,0.288
"Wherefore the clerk put on his white comforter, and tried to warm himself at the candle; in which effort, not being a man of strong imagination, he failed.",0.498,0.814,0.966,0.277
"God save you!"" cried a cheerful voice.",0.521,0.363,0.009,0.506
"It was the voice of Scrooge's nephew, who came upon him so quickly that this was the first intimation he had of his approach.",0.460,0.147,0.503,0.231
"He had so heated himself with rapid walking in the fog and frost, this nephew of Scrooge's, that he was all in a glow; his face was ruddy and handsome; his eyes sparkled, and his breath smoked again.",0.796,0.592,0.973,0.307
"""You don't mean that, I am sure?""",0.132,0.714,0.260,0.413
What right have you to be merry?,0.184,0.766,0.933,0.119
What reason have you to be merry?,0.132,0.885,0.892,0.292
"""What right have you to be dismal?",0.329,0.086,0.797,0.112
What reason have you to be morose?,0.363,0.370,0.353,0.327
"Scrooge, having no better answer ready on the spur of the moment, said, ""Bah!"" again; and followed it up with ""Humbug!""",0.416,0.519,0.053,0.139
"""Don't be cross, uncle!"" said the nephew.",0.552,0.285,0.047,0.722
"[Illustration: _""A Merry Christmas, uncle!",0.716,0.708,0.918,0.278
"God save you!"" cried a cheerful voice._]  ""What else can I be,"" returned the uncle, ""when I live in such a world of fools as this?",0.293,0.122,0.846,0.422
"What's Christmas-time to you but a time for paying bills without money; a time for finding yourself a year older, and not an hour richer; a time for balancing your books, and having every item in 'em through a round dozen of months presented dead against you?",0.298,0.776,0.011,0.115
"If I could work my will,"" said Scrooge indignantly, ""every idiot who goes about with 'Merry Christmas' on his lips should be boiled with his own pudding, and buried with a stake of holly through his heart.",0.669,0.745,0.751,0.141
"""Nephew!"" returned the uncle sternly, ""keep Christmas in your own way, and let me keep it in mine.""",0.527,0.616,0.003,0.209
"""Let me leave it alone, then,"" said Scrooge.",0.274,0.087,0.079,0.038
Much good may it do you!,0.013,0.523,0.107,0.084
"Much good it has ever done you!""",0.115,0.634,0.068,0.315
"""There are many things from which I might have derived good, by which I have not profited, I dare say,"" returned the nephew; ""Christmas among the rest.",0.978,0.593,0.253,0.226
"But I am sure I have always thought of Christmas-time, when it has come round--apart from the veneration due to its sacred name and origin, if anything belonging to it can be apart from that--as a good time; a kind, forgiving, charitable, pleasant time; the only time I know of, in the long calendar of the year, when men and women seem by one consent to open their shut-up hearts freely, and to think of people below them as if they really were fellow-passengers to the grave, and not another race of creatures bound on other journeys.",0.239,0.490,0.005,0.156
"And therefore, uncle, though it has never put a scrap of gold or silver in my pocket, I believe that it _has_ done me good, and _will_ do me good; and I say, God bless it!""",0.383,0.553,0.417,0.187
"""Let me hear another sound from _you_,"" said Scrooge, ""and you'll keep your Christmas by losing your situation!",0.209,0.071,0.124,0.216
"You're quite a powerful speaker, sir,"" he added, turning to his nephew.",0.115,0.436,0.489,0.469
"""I wonder you don't go into Parliament.""  ""Don't be angry, uncle.",0.167,0.203,0.113,0.479
"Scrooge said that he would see him----Yes, indeed he did.",0.466,0.503,0.393,0.230
"He went the whole length of the expression, and said that he would see him in that extremity first.",0.394,0.950,0.192,0.269
"""Because I fell in love.""  ""Because you fell in love!"" growled Scrooge, as if that were the only one thing in the world more ridiculous than a merry Christmas.",0.924,0.738,0.870,0.358
"""Good afternoon!""  ""Nay, uncle, but you never came to see me before that happened.",0.206,0.310,0.404,0.079
"Why give it as a reason for not coming now?""  ""Good afternoon,"" said Scrooge.",0.128,0.250,0.481,0.188
"""I want nothing from you; I ask nothing of you; why cannot we be friends?""",0.321,0.957,0.098,0.201
"""I am sorry, with all my heart, to find you so resolute.",0.368,0.358,0.840,0.158
"But I have made the trial in homage to Christmas, and I'll keep my Christmas humour to the last.",0.691,0.382,0.056,0.347
"So A Merry Christmas, uncle!""",0.614,0.558,0.863,0.281
"""And A Happy New Year!""",0.386,0.594,0.563,0.133
"His nephew left the room without an angry word, notwithstanding.",0.416,0.991,0.565,0.109
"""There's another fellow,"" muttered Scrooge, who overheard him: ""my clerk, with fifteen shillings a week, and a wife and family, talking about a merry Christmas.",0.987,0.961,0.620,0.625
"This lunatic, in letting Scrooge's nephew out, had let two other people in.",0.384,0.161,0.017,0.649
"They were portly gentlemen, pleasant to behold, and now stood, with their hats off, in Scrooge's office.",0.549,0.556,0.371,0.091
"""Have I the pleasure of addressing Mr. Scrooge, or Mr. Marley?",0.696,0.945,0.664,0.298
"He died seven years ago, this very night.""",0.629,0.761,0.803,0.095
"""We have no doubt his liberality is well represented by his surviving partner,"" said the gentleman, presenting his credentials.",0.439,0.795,0.909,0.285
It certainly was; for they had been two kindred spirits.,0.804,0.047,0.822,0.048
"At the ominous word ""liberality"" Scrooge frowned, and shook his head, and handed the credentials back.",0.457,0.910,0.976,0.044
"""At this festive season of the year, Mr. Scrooge,"" said the gentleman, taking up a pen, ""it is more than usually desirable that we should make some slight provision for the poor and destitute, who suffer greatly at the present time.",0.894,0.379,0.825,0.026
"Many thousands are in want of common necessaries; hundreds of thousands are in want of common comforts, sir.""",0.637,0.867,0.826,0.220
"""Are there no prisons?"" asked Scrooge.",0.229,0.919,0.507,0.075
"I was afraid, from what you said at first, that something had occurred to stop them in their useful course,"" said Scrooge.",0.345,0.113,0.730,0.074
"""I am very glad to hear it.""",0.054,0.618,0.349,0.438
"""Under the impression that they scarcely furnish Christian cheer of mind or body to the multitude,"" returned the gentleman, ""a few of us are endeavouring to raise a fund to buy the Poor some meat and drink, and means of warmth.",0.793,0.137,0.982,0.077
"We choose this time, because it is a time, of all others, when Want is keenly felt, and Abundance rejoices.",0.086,0.598,0.178,0.483
"What shall I put you down for?""  ""Nothing!""",0.503,0.227,0.876,0.177
"""I wish to be left alone,"" said Scrooge.",0.074,0.295,0.227,0.031
"""Since you ask me what I wish, gentlemen, that is my answer.",0.532,0.663,0.205,0.210
"I don't make merry myself at Christmas, and I can't afford to make idle people merry.",0.349,0.951,0.880,0.039
I help to support the establishments I have mentioned--they cost enough; and those who are badly off must go there.,0.165,0.654,0.469,0.413
"""  ""Many can't go there; and many would rather die.""",0.029,0.974,0.480,0.503
"""If they would rather die,"" said Scrooge, ""they had better do it, and decrease the surplus population.",0.298,0.485,0.249,0.090
"Besides--excuse me--I don't know that.""",0.583,0.341,0.118,0.191
"""But you might know it,"" observed the gentleman.",0.053,0.471,0.361,0.225
"""It's not my business,"" Scrooge returned.",0.612,0.342,0.826,0.342
"""It's enough for a man to understand his own business, and not to interfere with other people's.",0.517,0.926,0.226,0.372
"Seeing clearly that it would be useless to pursue their point, the gentlemen withdrew.",0.537,0.269,0.302,0.143
"Scrooge resumed his labours with an improved opinion of himself, and in a more facetious temper than was usual with him.",0.094,0.561,0.991,0.279
"Meanwhile the fog and darkness thickened so, that people ran about with flaring links, proffering their services to go before horses in carriages, and conduct them on their way.",0.969,0.215,0.195,0.327
"The ancient tower of a church, whose gruff old bell was always peeping slily down at Scrooge out of a Gothic window in the wall, became invisible, and struck the hours and quarters in the clouds, with tremulous vibrations afterwards, as if its teeth were chattering in its frozen head up there.",0.218,0.481,0.091,0.232
"In the main street, at the corner of the court, some labourers were repairing the gas-pipes, and had lighted a great fire in a brazier, round which a party of ragged men and boys were gathered: warming their hands and winking their eyes before the blaze in rapture.",0.825,0.499,0.632,0.466
"The water-plug being left in solitude, its overflowings suddenly congealed, and turned to misanthropic ice.",0.032,0.727,0.253,0.283
"The brightness of the shops, where holly sprigs and berries crackled in the lamp heat of the windows, made pale faces ruddy as they passed.",0.544,0.134,0.813,0.413
"Poulterers' and grocers' trades became a splendid joke: a glorious pageant, with which it was next to impossible to believe that such dull principles as bargain and sale had anything to do.",0.520,0.684,0.337,0.093
"The Lord Mayor, in the stronghold of the mighty Mansion House, gave orders to his fifty cooks and butlers to keep Christmas as a Lord Mayor's household should; and even the little tailor, whom he had fined five shillings on the previous Monday for being drunk and blood-thirsty in the streets, stirred up to-morrow's pudding in his garret, while his lean wife and the baby sallied out to buy the beef.",0.570,0.941,0.521,0.084
"If the good St. Dunstan had but nipped the Evil Spirit's nose with a touch of such weather as that, instead of using his familiar weapons, then indeed he would have roared to lusty purpose.",0.288,0.472,0.959,0.146
"The owner of one scant young nose, gnawed and mumbled by the hungry cold as bones are gnawed by dogs, stooped down at Scrooge's keyhole to regale him with a Christmas carol; but, at the first sound of      ""God bless you, merry gentleman,",0.097,0.836,0.869,0.024
"Scrooge seized the ruler with such energy of action, that the singer fled in terror, leaving the keyhole to the fog, and even more congenial frost.",0.675,0.752,0.787,0.562
At length the hour of shutting up the counting-house arrived.,0.838,0.911,0.824,0.005
"With an ill-will Scrooge dismounted from his stool, and tacitly admitted the fact to the expectant clerk in the tank, who instantly snuffed his candle out, and put on his hat.",0.806,0.924,0.600,0.365
"""You'll want all day to-morrow, I suppose?"" said Scrooge.",0.234,0.837,0.910,0.359
"""If quite convenient, sir.""  ""It's not convenient,"" said Scrooge, ""and it's not fair.",0.020,0.412,0.974,0.378
"""And yet,"" said Scrooge, ""you don't think _me_ ill used when I pay a day's wages for no work.""",0.480,0.748,0.046,0.102
"""A poor excuse for picking a man's pocket every twenty-fifth of December!"" said Scrooge, buttoning his great-coat to the chin.",0.363,0.017,0.852,0.209
"""But I suppose you must have the whole day.",0.464,0.984,0.486,0.271
The clerk promised that he would; and Scrooge walked out with a growl.,0.432,0.597,0.936,0.324
"The office was closed in a twinkling, and the clerk, with the long ends of his white comforter dangling below his waist (for he boasted no great-coat), went down a slide on Cornhill, at the end of a lane of boys, twenty times, in honour of its being Christmas-eve, and then ran home to Camden Town as hard as he could pelt, to play at blindman's buff.",0.126,0.080,0.960,0.010
"Scrooge took his melancholy dinner in his usual melancholy tavern; and having read all the newspapers, and beguiled the rest of the evening with his banker's book, went home to bed.",0.358,0.952,0.986,0.321
He lived in chambers which had once belonged to his deceased partner.,0.617,0.460,0.868,0.464
"They were a gloomy suite of rooms, in a lowering pile of building up a yard, where it had so little business to be, that one could scarcely help fancying it must have run there when it was a young house, playing at hide-and-seek with other houses, and have forgotten the way out again.",0.137,0.487,0.938,0.036
"It was old enough now, and dreary enough; for nobody lived in it but Scrooge, the other rooms being all let out as offices.",0.570,0.047,0.383,0.227
"The yard was so dark that even Scrooge, who knew its every stone, was fain to grope with his hands.",0.407,0.469,0.948,0.321
"The fog and frost so hung about the black old gateway of the house, that it seemed as if the Genius of the Weather sat in mournful meditation on the threshold.",0.742,0.665,0.993,0.069
"It is also a fact that Scrooge had seen it, night and morning, during his whole residence in that place; also that Scrooge had as little of what is called fancy about him as any man in the City of London, even including--which is a bold word--the corporation, aldermen, and livery.",0.737,0.953,0.369,0.543
Let it also be borne in mind that Scrooge had not bestowed one thought on Marley since his last mention of his seven-years'-dead partner that afternoon.,0.033,0.813,0.271,0.224
"And then let any man explain to me, if he can, how it happened that Scrooge, having his key in the lock of the door, saw in the knocker, without its undergoing any intermediate process of change--not a knocker, but Marley's face.",0.604,0.928,0.324,0.307
"It was not in impenetrable shadow, as the other objects in the yard were, but had a dismal light about it, like a bad lobster in a dark cellar.",0.308,0.488,0.972,0.318
"It was not angry or ferocious, but looked at Scrooge as Marley used to look: with ghostly spectacles turned up on its ghostly forehead.",0.437,0.459,0.937,0.015
"The hair was curiously stirred, as if by breath of hot air; and, though the eyes were wide open, they were perfectly motionless.",0.207,0.715,0.937,0.100
"That, and its livid colour, made it horrible; but its horror seemed to be in spite of the face, and beyond its control, rather than a part of its own expression.",0.746,0.782,0.984,0.673
"To say that he was not startled, or that his blood was not conscious of a terrible sensation to which it had been a stranger from infancy, would be untrue.",0.945,0.177,0.948,0.405
"But he put his hand upon the key he had relinquished, turned it sturdily, walked in, and lighted his candle.",0.052,0.941,0.456,0.601
"He _did_ pause, with a moment's irresolution, before he shut the door; and he _did_ look cautiously behind it first, as if he half expected to be terrified with the sight of Marley's pigtail sticking out into the hall.",0.786,0.396,0.844,0.284
"But there was nothing on the back of the door, except the screws and nuts that held the knocker on, so he said, ""Pooh, pooh!"" and closed it with a bang.",0.358,0.394,0.857,0.252
"Every room above, and every cask in the wine merchant's cellars below, appeared to have a separate peal of echoes of its own.",0.577,0.500,0.039,0.373
Scrooge was not a man to be frightened by echoes.,0.674,0.773,0.796,0.338
"He fastened the door, and walked across the hall, and up the stairs: slowly, too: trimming his candle as he went.",0.923,0.814,0.428,0.125
"You may talk vaguely about driving a coach and six up a good old flight of stairs, or through a bad young Act of Parliament; but I mean to say you might have got a hearse up that staircase, and taken it broadwise, with the splinter-bar towards the wall, and the door towards the balustrades: and done it easy.",0.748,0.327,0.576,0.463
"There was plenty of width for that, and room to spare; which is perhaps the reason why Scrooge thought he saw a locomotive hearse going on before him in the gloom.",0.632,0.219,0.928,0.232
"Half-a-dozen gas-lamps out of the street wouldn't have lighted the entry too well, so you may suppose that it was pretty dark with Scrooge's dip.",0.046,0.615,0.593,0.385
"Up Scrooge went, not caring a button for that.",0.593,0.984,0.324,0.156
"But, before he shut his heavy door, he walked through his rooms to see that all was right.",0.846,0.060,0.866,0.132
He had just enough recollection of the face to desire to do that.,0.464,0.823,0.836,0.075
"Nobody under the table, nobody under the sofa; a small fire in the grate; spoon and basin ready; and the little saucepan of gruel (Scrooge had a cold in his head) upon the hob.",0.205,0.142,0.336,0.240
"Nobody under the bed; nobody in the closet; nobody in his dressing-gown, which was hanging up in a suspicious attitude against the wall.",0.235,0.291,0.496,0.086
"Old fire-guard, old shoes, two fish baskets, washing-stand on three legs, and a poker.",0.503,0.711,0.747,0.148
"Quite satisfied, he closed his door, and locked himself in; double locked himself in, which was not his custom.",0.788,0.442,0.943,0.361
"Thus secured against surprise, he took off his cravat; put on his dressing-gown and slippers, and his nightcap; and sat down before the fire to take his gruel.",0.604,0.684,0.864,0.345
It was a very low fire indeed; nothing on such a bitter night.,0.141,0.073,0.793,0.186
"He was obliged to sit close to it, and brood over it, before he could extract the least sensation of warmth from such a handful of fuel.",0.792,0.035,0.549,0.266
"The fire-place was an old one, built by some Dutch merchant long ago, and paved all round with quaint Dutch tiles, designed to illustrate the Scriptures.",0.844,0.852,0.216,0.370
"There were Cains and Abels, Pharaoh's daughters, Queens of Sheba, Angelic messengers descending through the air on clouds like feather beds, Abrahams, Belshazzars, Apostles putting off to sea in butter-boats, hundreds of figures to attract his thoughts; and yet that face of Marley, seven years dead, came like the ancient Prophet's rod, and swallowed up the whole.",0.092,0.992,0.765,0.277
"If each smooth tile had been a blank at first, with power to shape some picture on its surface from the disjointed fragments of his thoughts, there would have been a copy of old Marley's head on every one.",0.681,0.576,0.890,0.067
"""Humbug!"" said Scrooge; and walked across the room.",0.085,0.165,0.459,0.338
"As he threw his head back in the chair, his glance happened to rest upon a bell, a disused bell, that hung in the room, and communicated, for some purpose now forgotten, with a chamber in the highest story of the building.",0.606,0.638,0.949,0.135
"It was with great astonishment, and with a strange, inexplicable dread, that, as he looked, he saw this bell begin to swing.",0.555,0.250,0.975,0.124
"It swung so softly in the outset that it scarcely made a sound; but soon it rang out loudly, and so did every bell in the house.",0.171,0.532,0.422,0.360
"This might have lasted half a minute, or a minute, but it seemed an hour.",0.490,0.294,0.886,0.541
"The bells ceased, as they had begun, together.",0.773,0.014,0.046,0.470
"They were succeeded by a clanking noise, deep down below, as if some person were dragging a heavy chain over the casks in the wine merchant's cellar.",0.065,0.160,0.120,0.107
"The cellar door flew open with a booming sound, and then he heard the noise much louder on the floors below; then coming up the stairs; then coming straight towards his door.",0.831,0.892,0.104,0.048
"His colour changed, though, when, without a pause, it came on through the heavy door, and passed into the room before his eyes.",0.877,0.933,0.738,0.399
"Upon its coming in, the dying flame leaped up, as though it cried, ""I know him!",0.139,0.929,0.075,0.243
"Marley's Ghost!"" and fell again.",0.732,0.577,0.212,0.347
"Marley in his pigtail, usual waistcoat, tights, and boots; the tassels on the latter bristling, like his pigtail, and his coat-skirts, and the hair upon his head.",0.581,0.824,0.937,0.278
The chain he drew was clasped about his middle.,0.563,0.637,0.954,0.195
"It was long, and wound about him like a tail; and it was made (for Scrooge observed it closely) of cash-boxes, keys, padlocks, ledgers, deeds, and heavy purses wrought in steel.",0.164,0.046,0.530,0.135
"His body was transparent; so that Scrooge, observing him, and looking through his waistcoat, could see the two buttons on his coat behind.",0.454,0.596,0.823,0.093
"Though he looked the phantom through and through, and saw it standing before him; though he felt the chilling influence of its death-cold eyes; and marked the very texture of the folded kerchief bound about its head and chin, which wrapper he had not observed before; he was still incredulous, and fought against his senses.",0.776,0.293,0.839,0.236
"""Much!""--Marley's voice, no doubt about it.",0.057,0.230,0.077,0.200
"""Who are you?""  ""Ask me who I _was_.""",0.665,0.024,0.757,0.160
"""Who _were_ you, then?"" said Scrooge, raising his voice.",0.398,0.280,0.002,0.416
""" He was going to say ""_to_ a shade,"" but substituted this, as more appropriate.",0.226,0.231,0.891,0.197
"""In life I was your partner, Jacob Marley.",0.021,0.045,0.911,0.391
"""  ""Can you--can you sit down?"" asked Scrooge, looking doubtfully at him.",0.042,0.429,0.358,0.004
"Scrooge asked the question, because he didn't know whether a ghost so transparent might find himself in a condition to take a chair; and felt that, in the event of its being impossible, it might involve the necessity of an embarrassing explanation.",0.057,0.677,0.886,0.578
"""You don't believe in me,"" observed the Ghost.",0.403,0.468,0.068,0.612
"""What evidence would you have of my reality beyond that of your own senses?""",0.318,0.561,0.567,0.325
"""I don't know,"" said Scrooge.",0.309,0.221,0.083,0.759
"""Why do you doubt your senses?""  ""Because,"" said Scrooge, ""a little thing affects them.",0.503,0.048,0.833,0.233
A slight disorder of the stomach makes them cheats.,0.858,0.386,0.863,0.484
"You may be an undigested bit of beef, a blot of mustard, a crumb of cheese, a fragment of an underdone potato.",0.249,0.534,0.706,0.407
"Scrooge was not much in the habit of cracking jokes, nor did he feel in his heart by any means waggish then.",0.078,0.651,0.900,0.606
"The truth is, that he tried to be smart, as a means of distracting his own attention, and keeping down his terror; for the spectre's voice disturbed the very marrow in his bones.",0.403,0.878,0.211,0.391
"To sit staring at those fixed glazed eyes in silence, for a moment, would play, Scrooge felt, the very deuce with him.",0.013,0.539,0.323,0.051
"Scrooge could not feel it himself, but this was clearly the case; for though the Ghost sat perfectly motionless, its hair, and skirts, and tassels were still agitated as by the hot vapour from an oven.",0.435,0.724,0.950,0.823
"""You see this toothpick?"" said Scrooge, returning quickly to the charge, for the reason just assigned; and wishing, though it were only for a second, to divert the vision's stony gaze from himself.",0.214,0.614,0.583,0.172
"""Well!"" returned Scrooge, ""I have but to swallow this, and be for the rest of my days persecuted by a legion of goblins, all of my own creation.",0.325,0.498,0.524,0.336
"Humbug, I tell you; humbug!""",0.067,0.080,0.069,0.197
"At this the spirit raised a frightful cry, and shook its chain with such a dismal and appalling noise, that Scrooge held on tight to his chair, to save himself from falling in a swoon.",0.352,0.351,0.986,0.028
"But how much greater was his horror when the phantom, taking off the bandage round his head, as if it were too warm to wear indoors, its lower jaw dropped down upon its breast!",0.081,0.394,0.310,0.132
"Scrooge fell upon his knees, and clasped his hands before his face.",0.713,0.939,0.263,0.616
"""Dreadful apparition, why do you trouble me?""",0.246,0.054,0.624,0.199
"But why do spirits walk the earth, and why do they come to me?""",0.217,0.076,0.894,0.030
"[Illustration: _To sit staring at those fixed glazed eyes in silence, for a moment, would play, Scrooge felt, the very deuce with him._]",0.021,0.891,0.570,0.049
"""It is required of every man,"" the Ghost returned, ""that the spirit within him should walk abroad among his fellow-men, and travel far and wide; and, if that spirit goes not forth in life, it is condemned to do so after death.",0.384,0.332,0.555,0.128
It is doomed to wander through the world--,0.265,0.710,0.555,0.300
"oh, woe is me!--and witness what it cannot share, but might have shared on earth, and turned to happiness!""",0.099,0.758,0.936,0.302
"Again the spectre raised a cry, and shook its chain and wrung its shadowy hands.",0.324,0.091,0.833,0.125
"""You are fettered,"" said Scrooge, trembling.",0.554,0.452,0.453,0.281
"""I wear the chain I forged in life,"" replied the Ghost.",0.042,0.524,0.348,0.837
"""I made it link by link, and yard by yard; I girded it on of my own free-will, and of my own free-will I wore it.",0.093,0.205,0.117,0.419
Scrooge trembled more and more.,0.431,0.373,0.131,0.342
"""Or would you know,"" pursued the Ghost, ""the weight and length of the strong coil you bear yourself?",0.484,0.379,0.092,0.174
"It was full as heavy and as long as this, seven Christmas-eves ago.",0.714,0.029,0.916,0.143
"Scrooge glanced about him on the floor, in the expectation of finding himself surrounded by some fifty or sixty fathoms of iron cable, but he could see nothing.",0.684,0.516,0.970,0.263
"Old Jacob Marley, tell me more!",0.289,0.272,0.551,0.248
"Speak comfort to me, Jacob!""",0.105,0.084,0.403,0.290
"""I have none to give,"" the Ghost replied.",0.906,0.487,0.028,0.775
"""It comes from other regions, Ebenezer Scrooge, and is conveyed by other ministers, to other kinds of men.",0.341,0.742,0.589,0.529
Nor can I tell you what I would.,0.440,0.662,0.507,0.267
"I cannot rest, I cannot stay, I cannot linger anywhere.",0.605,0.572,0.097,0.197
"My spirit never walked beyond our counting-house--mark me;--in life my spirit never roved beyond the narrow limits of our money-changing hole; and weary journeys lie before me!""",0.251,0.315,0.874,0.587
"It was a habit with Scrooge, whenever he became thoughtful, to put his hands in his breeches pockets.",0.216,0.505,0.942,0.163
"""You must have been very slow about it, Jacob,"" Scrooge observed in a business-like manner, though with humility and deference.",0.501,0.638,0.232,0.160
"""The whole time,"" said the Ghost. """,0.678,0.910,0.275,0.901
"""On the wings of the wind,"" replied the Ghost.",0.827,0.513,0.066,0.657
"""You might have got over a great quantity of ground in seven years,"" said Scrooge.",0.248,0.165,0.682,0.316
"The Ghost, on hearing this, set up another cry, and clanked its chain so hideously in the dead silence of the night, that the Ward would have been justified in indicting it for a nuisance.",0.094,0.345,0.840,0.165
"""Oh! captive, bound, and double-ironed,"" cried the phantom, ""not to know that ages of incessant labour, by immortal creatures, for this earth must pass into eternity before the good of which it is susceptible is all developed!",0.880,0.861,0.327,0.245
"Not to know that any Christian spirit working kindly in its little sphere, whatever it may be, will find its mortal life too short for its vast means of usefulness!",0.747,0.239,0.733,0.468
Not to know that no space of regret can make amends for one life's opportunities misused!,0.314,0.479,0.400,0.289
"""But you were always a good man of business, Jacob,"" faltered Scrooge, who now began to apply this to himself.",0.110,0.267,0.761,0.524
"""Business!"" cried the Ghost, wringing its hands again.",0.561,0.510,0.100,0.275
"The common welfare was my business; charity, mercy, forbearance, and benevolence were, all, my business.",0.272,0.286,0.746,0.082
"The dealings of my trade were but a drop of water in the comprehensive ocean of my business!""",0.304,0.282,0.178,0.174
"It held up its chain at arm's length, as if that were the cause of all its unavailing grief, and flung it heavily upon the ground again.",0.169,0.690,0.920,0.032
"Why did I walk through crowds of fellow-beings with my eyes turned down, and never raise them to that blessed Star which led the Wise Men to a poor abode?",0.660,0.057,0.955,0.156
"Were there no poor homes to which its light would have conducted _me_?""",0.322,0.060,0.933,0.138
"Scrooge was very much dismayed to hear the spectre going on at this rate, and began to quake exceedingly.",0.084,0.804,0.599,0.075
"""My time is nearly gone.""",0.773,0.319,0.377,0.108
"""But don't be hard upon me!",0.206,0.492,0.822,0.260
"""How it is that I appear before you in a shape that you can see, I may not tell.",0.865,0.944,0.378,0.404
"I have sat invisible beside you many and many a day.""",0.352,0.798,0.664,0.298
"Scrooge shivered, and wiped the perspiration from his brow.",0.904,0.678,0.865,0.515
"""I am here to-night to warn you that you have yet a chance and hope of escaping my fate.",0.145,0.777,0.005,0.385
"A chance and hope of my procuring, Ebenezer.""",0.473,0.489,0.039,0.632
